,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),82.0,67.0,73.0,70.7
1,Population below age 15 years (%),22.4,23.2,22.9,24.4
2,"Sex ratio of the total population (females per 1,000 males)","1,034","1,035","1,034",979
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,063",931,978,910
4,Children under age 5 years whose birth was registered with the civil authority (%),98.8,96.8,97.5,94.9
5,Deaths in the last 3 years registered with the civil authority (%),88.7,85.5,86.6,na
6,Population living in households with electricity (%),99.3,99.0,99.1,98.3
7,Population living in households with an improved drinking-water source (%),97.3,94.1,95.3,95.3
8,Population living in households that use an improved sanitation facility(%),84.4,68.5,74.8,57.8
9,Households using clean fuel for cooking (%),94.5,69.3,79.7,54.7
10,Households using iodized salt (%),97.7,89.4,92.8,86.8
11,Households with any usual member covered under a health insurance/financing scheme (%),28.2,28.0,28.1,28.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.9,16.3,17.3,na
13,Women who are literate (%),85.1,71.0,76.7,na
14,Men who are literate (%),90.5,87.0,88.5,na
15,Women with 10 or more years of schooling (%),62.3,42.0,50.2,45.5
16,Men with 10 or more years of schooling (%),64.8,50.6,56.5,55.2
17,Women who have ever used the internet (%),50.1,24.8,35.0,na
18,Men who have ever used the internet (%),71.5,55.6,62.4,na
19,Women age 20-24 years married before age 18 years (%),16.1,24.7,21.3,21.4
20,Men age 25-29 years married before age 21 years (%),4.5,7.2,6.1,9.1
21,Total fertility rate (children per woman),1.5,1.8,1.7,1.8
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.4,6.6,5.4,7.8
23,Adolescent fertility rate for women age 15-19 years,27,47,40,51
24,Neonatal mortality rate (NNMR),15.1,16.2,15.8,18.5
25,Infant mortality rate (IMR),21.4,27.8,25.4,26.9
26,Under-five mortality rate (U5MR),24.5,32.5,29.5,31.5
27,Any method (%),69.6,68.2,68.7,51.8
28,Any modern method (%),68.8,67.7,68.2,51.3
29,Female sterilization (%),55.2,58.9,57.4,48.6
30,Male sterilization (%),0.0,0.0,0.0,0.1
31,IUD/PPIUD (%),3.4,2.5,2.9,0.8
32,Pill (%),2.1,2.1,2.1,0.4
33,Condom (%),6.0,2.9,4.1,1.3
34,Injectables (%),0.7,0.4,0.5,0.0
35,Total unmet need(%),7.3,5.9,6.5,10.4
36,Unmet need for spacing (%),4.2,3.4,3.8,6.0
37,Health worker ever talked to female non-users about family planning (%),36.6,35.2,35.8,19.8
38,Current users ever told about side effects of current method (%),79.7,68.7,72.9,41.6
39,Mothers who had an antenatal check-up in the first trimester (%),73.7,69.3,71.0,65.9
40,Mothers who had at least 4 antenatal care visits (%),71.2,70.6,70.9,70.1
41,Mothers whose last birth was protected against neonatal tetanus (%),94.9,92.8,93.6,88.1
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.7,40.9,44.7,45.2
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.5,23.7,26.7,32.6
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.8,98.2,97.6,89.3
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.4,87.4,87.4,65.5
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,042","4,911","4,954","4,824"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.5),15.3,12.3,5.6
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.4,84.9,85.5,na
49,Institutional births (%),98.3,96.2,97.0,94.0
50,Institutional births in public facility (%),56.0,70.0,64.8,61.2
51,Home births that were conducted by skilled health personnel (%),1.1,2.0,1.6,3.1
52,Births attended by skilled health personnel (%),96.2,92.5,93.8,93.7
53,Births delivered by caesarean section (%),35.2,29.4,31.5,23.6
54,Births in a private health facility that were delivered by caesarean section (%),52.3,52.8,52.5,40.3
55,Births in a public health facility that were delivered by caesarean section (%),23.3,22.2,22.6,16.9
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),80.0,86.5,84.1,62.6
