Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),72.4,71.3
Population below age 15 years (%),20.7,22.9
"Sex ratio of the total population (females per 1,000 males)","1,077","1,008"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,123",886
Children under age 5 years whose birth was registered with the civil authority (%),99.6,96.0
Deaths in the last 3 years registered with the civil authority (%),85.3,na
Population living in households with electricity (%),99.5,97.5
Population living in households with an improved drinking-water source (%),95.4,98.1
Population living in households that use an improved sanitation facility(%),86.4,65.0
Households using clean fuel for cooking (%),94.7,66.7
Households using iodized salt (%),98.0,86.1
Households with any usual member covered under a health insurance/financing scheme (%),26.2,33.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(14.1),na
Women who are literate (%),78.9,na
Women with 10 or more years of schooling (%),49.6,43.3
Women age 20-24 years married before age 18 years (%),17.5,22.2
Births in the 5 years preceding the survey that are third or higher order (%),0.1,1.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.0,17.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),90.6,63.7
Any method (%),79.5,55.6
Any modern method (%),77.3,55.4
Female sterilization (%),68.2,52.2
Male sterilization (%),0.0,0.1
IUD/PPIUD (%),2.4,1.0
Pill (%),1.1,0.3
Condom (%),4.2,1.7
Injectables (%),0.4,0.0
Total unmet need(%),5.6,9.9
Unmet need for spacing (%),4.4,4.9
Health worker ever talked to female non-users about family planning (%),37.6,15.5
Current users ever told about side effects of current method (%),78.6,37.4
Mothers who had an antenatal check-up in the first trimester (%),82.0,64.4
Mothers who had at least 4 antenatal care visits (%),85.7,65.9
Mothers whose last birth was protected against neonatal tetanus (%),94.6,79.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),65.2,50.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.1,36.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.4,90.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.5,80.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,143","4,981"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.6,na
Institutional births (%),100.0,94.7
Institutional births in public facility (%),56.2,69.8
Home births that were conducted by skilled health personnel (%),0.0,2.6
Births attended by skilled health personnel (%),97.8,94.7
Births delivered by caesarean section (%),43.7,33.3
Births in a private health facility that were delivered by caesarean section (%),67.9,64.9
Births in a public health facility that were delivered by caesarean section (%),24.7,24.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(97.2),46.7
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(92.6),(53.4)
Children age 12-23 months who have received BCG (%),(100.0),84.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),(100.0),71.8
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(97.2),62.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(100.0),71.5
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(47.8),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.2),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(97.2),53.3
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),98.1,76.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(93.9),93.2
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(6.1),6.8
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.0,7.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,2.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(82.7)
Children under age 3 years breastfed within one hour of birth (%),49.9,51.7
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),(11.7),(5.7)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(17.6)
Total children age 6-23 months receiving an adequate diet  (%),13.4,10.4
Children under 5 years who are stunted (height-for-age) (%),27.5,25.1
Children under 5 years who are wasted (weight-for-height) (%),15.6,17.3
Children under 5 years who are severely wasted (weight-for-height) (%),7.2,7.5
Children under 5 years who are underweight (weight-for-age) (%),28.2,24.9
Children under 5 years who are overweight (weight-for-height) (%),1.3,3.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.7,19.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),36.4,29.3
Women who have high risk waist-to-hip ratio (≥0.85) (%),54.0,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),57.2,60.1
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),48.7,46.0
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(24.2),*
All women age 15-49 years who are anaemic (%),48.0,45.6
All women age 15-19 years who are anaemic (%),41.7,43.7
Women - Blood sugar level - high (141-160 mg/dl)(%),5.2,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.1,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.8,na
Men - Blood sugar level - high (141-160 mg/dl)(%),4.2,na
Men - Blood sugar level - very high (>160 mg/dl) (%),8.2,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.0,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.8,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.3,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.5,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.1,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.8,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.4,na
Ever undergone a screening test for cervical cancer (%),0.9,na
Ever undergone a breast examination for breast cancer (%),1.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.3,na
Women age 15 years and above who use any kind of tobacco (%),6.7,na
