District,Agency,Households,Women,Men
Bagalkot,Nielsen India Pvt. Ltd,881,1138,182
Bangalore Rural,Nielsen India Pvt. Ltd,891,956,142
Bangalore,Nielsen India Pvt. Ltd,837,840,125
Belgaum,Nielsen India Pvt. Ltd,907,1147,179
Bellary,Nielsen India Pvt. Ltd,883,1103,156
Bidar,Nielsen India Pvt. Ltd,914,1181,172
Bijapur,Nielsen India Pvt. Ltd,887,1091,149
Chamarajanagar,Nielsen  India  Pvt.  Ltd,890,957,136
Chikkaballapura,Nielsen  India  Pvt.  Ltd,883,881,144
Chikmagalur,Nielsen  India  Pvt.  Ltd,885,945,143
Chitradurga,Nielsen India Pvt. Ltd,909,953,134
Dakshina Kannada,Nielsen India Pvt. Ltd,867,987,149
Davanagere,Nielsen India Pvt. Ltd,840,973,133
Dharwad,Nielsen India Pvt. Ltd,864,1051,156
Gadag,Nielsen India Pvt. Ltd,892,1136,193
Gulbarga,Nielsen India Pvt. Ltd,909,1147,167
Hassan,Nielsen India Pvt. Ltd,905,979,136
Haveri,Nielsen India Pvt. Ltd,875,1060,141
Kodagu,Nielsen India Pvt. Ltd,898,885,139
Kolar,Nielsen India Pvt. Ltd,883,990,164
Koppal,Nielsen India Pvt. Ltd,872,1017,171
Mandya,Nielsen India Pvt. Ltd,873,844,127
Mysore,Nielsen India Pvt. Ltd,857,951,134
Raichur,Nielsen India Pvt. Ltd,891,1177,166
Ramanagara,Nielsen  India  Pvt.  Ltd,878,814,108
Shimoga,Nielsen India Pvt. Ltd,902,1033,161
Tumkur,Nielsen India Pvt. Ltd,906,912,129
Udupi,Nielsen India Pvt. Ltd,894,1065,145
Uttara Kannada,Nielsen India Pvt. Ltd,897,1000,164
Yadgir,Nielsen India Pvt. Ltd,904,1242,171
