Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),96.7,96.3
Population below age 15 years (%),23.9,21.0
"Sex ratio of the total population (females per 1,000 males)","1,203","1,092"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",880,"1,066"
Children under age 5 years whose birth was registered with the civil authority (%),99.6,95.3
Deaths in the last 3 years registered with the civil authority (%),98.5,na
Population living in households with electricity (%),99.7,98.7
Population living in households with an improved drinking-water source (%),93.9,92.8
Population living in households that use an improved sanitation facility(%),99.5,99.0
Households using clean fuel for cooking (%),70.4,55.5
Households using iodized salt (%),99.2,98.0
Households with any usual member covered under a health insurance/financing scheme (%),47.9,38.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),32.3,na
Women who are literate (%),99.1,na
Women with 10 or more years of schooling (%),74.1,70.7
Women age 20-24 years married before age 18 years (%),5.4,10.2
Births in the 5 years preceding the survey that are third or higher order (%),0.4,0.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.4,3.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.8,89.1
Any method (%),61.9,49.2
Any modern method (%),54.2,47.8
Female sterilization (%),47.7,44.1
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),1.3,1.4
Pill (%),0.7,0.0
Condom (%),4.3,2.3
Injectables (%),0.0,0.0
Total unmet need(%),12.7,13.9
Unmet need for spacing (%),9.2,8.6
Health worker ever talked to female non-users about family planning (%),16.8,22.6
Current users ever told about side effects of current method (%),77.0,70.9
Mothers who had an antenatal check-up in the first trimester (%),94.8,96.7
Mothers who had at least 4 antenatal care visits (%),78.3,93.2
Mothers whose last birth was protected against neonatal tetanus (%),97.7,99.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),78.0,75.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),58.8,50.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.3,90.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.4,96.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,125","(7,044)"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.0,na
Institutional births (%),100.0,100.0
Institutional births in public facility (%),33.6,40.2
Home births that were conducted by skilled health personnel (%),0.0,0.0
Births attended by skilled health personnel (%),100.0,100.0
Births delivered by caesarean section (%),39.7,33.6
