,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),96.6,96.8
1,Population below age 15 years (%),18.9,20.0
2,"Sex ratio of the total population (females per 1,000 males)","1,171","1,043"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,135",851
4,Children under age 5 years whose birth was registered with the civil authority (%),100.0,99.6
5,Deaths in the last 3 years registered with the civil authority (%),96.2,na
6,Population living in households with electricity (%),99.8,98.2
7,Population living in households with an improved drinking-water source (%),95.7,95.4
8,Population living in households that use an improved sanitation facility(%),97.5,98.1
9,Households using clean fuel for cooking (%),80.1,58.8
10,Households using iodized salt (%),99.0,99.0
11,Households with any usual member covered under a health insurance/financing scheme (%),56.0,45.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(11.8),na
13,Women who are literate (%),98.2,na
14,Women with 10 or more years of schooling (%),80.6,79.1
15,Women age 20-24 years married before age 18 years (%),1.8,3.7
16,Births in the 5 years preceding the survey that are third or higher order (%),0.7,1.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,0.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),99.4,92.3
19,Any method (%),62.9,53.1
20,Any modern method (%),60.5,50.6
21,Female sterilization (%),57.2,46.2
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),0.6,1.8
24,Pill (%),0.6,0.2
25,Condom (%),1.7,2.5
26,Injectables (%),0.2,0.0
27,Total unmet need(%),11.9,14.5
28,Unmet need for spacing (%),7.2,8.1
29,Health worker ever talked to female non-users about family planning (%),15.1,19.0
30,Current users ever told about side effects of current method (%),62.0,56.9
31,Mothers who had an antenatal check-up in the first trimester (%),92.6,94.1
32,Mothers who had at least 4 antenatal care visits (%),79.3,88.7
33,Mothers whose last birth was protected against neonatal tetanus (%),98.5,96.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),89.0,56.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),81.5,19.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.9,84.8
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.4,80.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,836","10,299"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.5,na
41,Institutional births (%),100.0,99.5
42,Institutional births in public facility (%),44.7,41.6
43,Home births that were conducted by skilled health personnel (%),0.0,0.5
44,Births attended by skilled health personnel (%),100.0,100.0
45,Births delivered by caesarean section (%),49.1,57.0
46,Births in a private health facility that were delivered by caesarean section (%),58.4,60.2
47,Births in a public health facility that were delivered by caesarean section (%),37.6,53.3
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(85.4),(87.3)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*,*
50,Children age 12-23 months who have received BCG (%),(96.3),(100.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(95.6),(87.3)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.1),(98.5)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.1),(93.1)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(29.9),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(11.1),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(82.1),(85.0)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),93.9,95.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(90.5),(82.8)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(9.5),(17.2)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.5,2.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.4,0.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),92.5,*
66,Children under age 3 years breastfed within one hour of birth (%),61.6,37.4
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),(16.7),(25.4)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),(17.3),(24.1)
72,Children under 5 years who are stunted (height-for-age) (%),15.5,14.4
73,Children under 5 years who are wasted (weight-for-height) (%),21.4,18.8
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.9,7.4
75,Children under 5 years who are underweight (weight-for-age) (%),17.0,14.2
76,Children under 5 years who are overweight (weight-for-height) (%),9.4,3.8
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.5,6.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),43.5,38.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),74.4,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),32.5,18.1
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),36.7,25.7
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,*
83,All women age 15-49 years who are anaemic (%),36.0,25.5
84,All women age 15-19 years who are anaemic (%),24.5,31.2
85,Women - Blood sugar level - high (141-160 mg/dl)(%),8.1,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),13.6,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),26.2,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),9.5,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),16.7,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),30.2,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.3,na
