,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),97.7,96.2
1,Population below age 15 years (%),19.9,20.2
2,"Sex ratio of the total population (females per 1,000 males)","1,112","1,033"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,000",954
4,Children under age 5 years whose birth was registered with the civil authority (%),98.9,97.2
5,Deaths in the last 3 years registered with the civil authority (%),98.6,na
6,Population living in households with electricity (%),99.6,99.2
7,Population living in households with an improved drinking-water source (%),93.3,96.8
8,Population living in households that use an improved sanitation facility(%),99.6,99.5
9,Households using clean fuel for cooking (%),73.8,51.8
10,Households using iodized salt (%),99.8,98.4
11,Households with any usual member covered under a health insurance/financing scheme (%),61.1,59.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(36.5),na
13,Women who are literate (%),99.1,na
14,Women with 10 or more years of schooling (%),84.3,73.3
15,Women age 20-24 years married before age 18 years (%),4.2,7.1
16,Births in the 5 years preceding the survey that are third or higher order (%),1.0,0.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8,3.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.5,87.4
19,Any method (%),67.7,57.5
20,Any modern method (%),58.5,53.5
21,Female sterilization (%),52.5,50.4
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.4,0.9
24,Pill (%),0.3,0.0
25,Condom (%),3.4,2.1
26,Injectables (%),0.0,0.0
27,Total unmet need(%),9.6,13.3
28,Unmet need for spacing (%),5.9,8.8
29,Health worker ever talked to female non-users about family planning (%),14.4,21.4
30,Current users ever told about side effects of current method (%),71.5,63.0
31,Mothers who had an antenatal check-up in the first trimester (%),98.3,95.1
32,Mothers who had at least 4 antenatal care visits (%),91.8,94.4
33,Mothers whose last birth was protected against neonatal tetanus (%),96.7,98.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),85.7,74.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),76.1,60.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.6,83.8
37,days of delivery (%),91.0,84.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,734","(5,068)"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),89.0,na
41,Institutional births (%),100.0,100.0
42,Institutional births in public facility (%),42.2,45.5
43,Home births that were conducted by skilled health personnel (%),0.0,0.0
44,Births attended by skilled health personnel (%),100.0,100.0
45,Births delivered by caesarean section (%),45.7,33.8
46,Births in a private health facility that were delivered by caesarean section (%),48.8,40.6
47,Births in a public health facility that were delivered by caesarean section (%),41.4,25.7
48,mother's recall (%),(88.8),(70.0)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(92.3),(77.3)
50,Children age 12-23 months who have received BCG (%),(98.1),(100.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(96.2),(86.2)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.7),(86.9)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(90.7),(84.7)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(12.9),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(16.5),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(89.4),(84.9)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.9,66.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(81.2),(82.9)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(18.8),(17.1)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.3,2.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.2,0.4
65,provider (%),(91.2),*
66,Children under age 3 years breastfed within one hour of birth (%),85.6,68.6
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),26.7,(11.3)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),25.1,11.0
72,Children under 5 years who are stunted (height-for-age) (%),21.3,18.0
73,Children under 5 years who are wasted (weight-for-height) (%),14.1,13.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.4,5.4
75,Children under 5 years who are underweight (weight-for-age) (%),18.9,18.5
76,Children under 5 years who are overweight (weight-for-height) (%),4.4,7.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),8.4,12.3
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),30.7,27.1
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),74.2,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),32.1,39.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),30.2,43.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(23.2),(32.0)
83,All women age 15-49 years who are anaemic (%),29.8,42.9
84,All women age 15-19 years who are anaemic (%),32.6,46.5
85,Blood sugar level - high (141-160 mg/dl)(%),7.7,na
86,Blood sugar level - very high (>160 mg/dl)(%),11.7,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),22.5,na
88,Blood sugar level - high (141-160 mg/dl)(%),10.2,na
89,Blood sugar level - very high (>160 mg/dl) (%),11.7,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.9,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.0,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.0,na
93,blood pressure (%),29.6,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.9,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.0,na
96,blood pressure (%),28.4,na
97,Ever undergone a screening test for cervical cancer (%),2.3,na
98,Ever undergone a breast examination for breast cancer (%),1.6,na
99,Ever undergone an oral cavity examination for oral cancer (%),1.1,na
100,Women age 15 years and above who use any kind of tobacco (%),0.8,na
101,Men age 15 years and above who use any kind of tobacco (%),11.3,na
102,Women age 15 years and above who consume alcohol (%),0.0,na
103,Men age 15 years and above who consume alcohol (%),13.5,na
