Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),97.7,97.0
Population below age 15 years (%),16.4,16.7
"Sex ratio of the total population (females per 1,000 males)","1,174","1,105"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",916,"1,135"
Children under age 5 years whose birth was registered with the civil authority (%),100.0,97.3
Deaths in the last 3 years registered with the civil authority (%),95.1,na
Population living in households with electricity (%),99.6,99.2
Population living in households with an improved drinking-water source (%),94.1,94.5
Population living in households that use an improved sanitation facility(%),98.9,97.1
Households using clean fuel for cooking (%),60.1,57.7
Households using iodized salt (%),99.6,99.2
Households with any usual member covered under a health insurance/financing scheme (%),50.1,41.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(31.5),na
Women who are literate (%),99.7,na
Women with 10 or more years of schooling (%),84.5,76.8
Women age 20-24 years married before age 18 years (%),0.0,1.2
Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,1.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.9,96.1
Any method (%),59.3,50.9
Any modern method (%),54.4,49.9
Female sterilization (%),47.6,44.5
Male sterilization (%),0.2,0.0
IUD/PPIUD (%),2.6,1.7
Pill (%),0.5,0.2
Condom (%),3.4,3.5
Injectables (%),0.0,0.0
Total unmet need(%),12.3,14.2
Unmet need for spacing (%),4.9,7.1
Health worker ever talked to female non-users about family planning (%),16.2,22.0
Current users ever told about side effects of current method (%),(63.1),61.7
Mothers who had an antenatal check-up in the first trimester (%),92.9,86.6
Mothers who had at least 4 antenatal care visits (%),83.9,90.0
Mothers whose last birth was protected against neonatal tetanus (%),94.2,90.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),74.7,68.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),58.6,58.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.2,91.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.2,92.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"(7,608)","(7,467)"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.2,na
