District,Agency,Households,Women,Men
Alappuzha,Society for Promotion of Youth and Masses (SPYM),886,685,111
Ernakulam,Society for Promotion of Youth and Masses (SPYM),857,747,115
Idukki,Society for Promotion of Youth and Masses (SPYM),857,710,121
Kannur,Society for Promotion of Youth and Masses (SPYM),919,950,101
Kasaragod,Society for Promotion of Youth and Masses (SPYM),922,945,116
Kollam,Society for Promotion of Youth and Masses (SPYM),859,753,78
Kottayam,Society for Promotion of Youth and Masses (SPYM),867,659,100
Kozhikode,Society for Promotion of Youth and Masses (SPYM),888,825,107
Malappuram,Society for Promotion of Youth and Masses (SPYM),905,1004,141
Palakkad,Society for Promotion of Youth and Masses (SPYM),912,881,113
Pathanamthitta,Society for Promotion of Youth and Masses (SPYM),854,625,92
Thiruvananthapuram,Society for Promotion of Youth and Masses (SPYM),833,657,84
Thrissur,Society for Promotion of Youth and Masses (SPYM),852,715,66
Wayanad,Society for Promotion of Youth and Masses (SPYM),919,813,128
