,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),88.2,88.9
1,Population below age 15 years (%),21.2,21.9
2,"Sex ratio of the total population (females per 1,000 males)","1,019","1,065"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,003","1,241"
4,Children under age 5 years whose birth was registered with the civil authority (%),96.8,95.2
5,Deaths in the last 3 years registered with the civil authority (%),97.1,na
6,Population living in households with electricity (%),97.0,96.1
7,Population living in households with an improved drinking-water source (%),94.1,93.3
8,Population living in households that use an improved sanitation facility(%),97.6,95.2
9,Households using clean fuel for cooking (%),55.7,33.2
10,Households using iodized salt (%),99.0,96.9
11,Households with any usual member covered under a health insurance/financing scheme (%),64.8,61.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(33.6),na
13,Women who are literate (%),93.7,na
14,Women with 10 or more years of schooling (%),68.0,61.3
15,Women age 20-24 years married before age 18 years (%),8.4,13.8
16,Births in the 5 years preceding the survey that are third or higher order (%),0.5,0.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6,2.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.9,81.9
19,Any method (%),78.9,57.8
20,Any modern method (%),69.5,52.2
21,Female sterilization (%),64.8,46.3
22,Male sterilization (%),0.2,0.5
23,IUD/PPIUD (%),2.7,2.8
24,Pill (%),0.2,0.2
25,Condom (%),1.1,2.3
26,Injectables (%),0.0,0.0
27,Total unmet need(%),5.6,11.2
28,Unmet need for spacing (%),4.0,7.5
29,Health worker ever talked to female non-users about family planning (%),11.8,20.5
30,Current users ever told about side effects of current method (%),68.5,50.2
31,Mothers who had an antenatal check-up in the first trimester (%),97.6,94.8
32,Mothers who had at least 4 antenatal care visits (%),94.2,91.7
33,Mothers whose last birth was protected against neonatal tetanus (%),99.4,94.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),94.9,72.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),75.3,57.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.7,88.7
37,days of delivery (%),95.9,83.2
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"(7,967)","4,232"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),97.2,na
41,Institutional births (%),100.0,99.6
42,Institutional births in public facility (%),37.6,47.2
43,Home births that were conducted by skilled health personnel (%),0.0,0.0
44,Births attended by skilled health personnel (%),100.0,99.6
45,Births delivered by caesarean section (%),25.7,22.8
46,Births in a private health facility that were delivered by caesarean section (%),30.2,21.9
47,Births in a public health facility that were delivered by caesarean section (%),18.4,23.9
48,mother's recall (%),(86.4),(72.8)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(88.4),(85.9)
50,Children age 12-23 months who have received BCG (%),(97.7),(100.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(88.8),(79.2)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(86.4),(83.6)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(90.8),(83.5)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(25.6),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(81.9),(71.3)
