,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),69.6,64.3
2,Population below age 15 years (%),24.5,32.1
3,"Sex ratio of the total population (females per 1,000 males)",975,970
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,336",818
5,Children under age 5 years whose birth was registered with the civil authority (%),98.5,73.6
6,Deaths in the last 3 years registered with the civil authority (%),71.6,na
7,Population living in households with electricity (%),99.1,97.6
8,Population living in households with an improved drinking-water source (%),90.2,88.2
9,Population living in households that use an improved sanitation facility(%),42.3,17.9
10,Households using clean fuel for cooking (%),58.1,43.8
11,Households using iodized salt (%),98.6,98.2
12,Households with any usual member covered under a health insurance/financing scheme (%),13.6,1.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,na
15,Women who are literate (%),77.2,na
16,Women with 10 or more years of schooling (%),50.3,42.8
18,Women age 20-24 years married before age 18 years (%),2.5,4.6
19,Births in the 5 years preceding the survey that are third or higher order (%),0.4,2.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,0.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.4,50.0
23,Any method (%),46.9,62.9
24,Any modern method (%),41.6,59.3
25,Female sterilization (%),14.1,19.9
26,Male sterilization (%),0.3,0.1
27,IUD/PPIUD (%),5.7,25.4
28,Pill (%),6.6,4.6
29,Condom (%),8.6,6.9
30,Injectables (%),5.1,2.0
32,Total unmet need(%),8.8,8.9
33,Unmet need for spacing (%),4.9,5.4
35,Health worker ever talked to female non-users about family planning (%),9.1,7.2
36,Current users ever told about side effects of current method (%),55.4,25.3
38,Mothers who had an antenatal check-up in the first trimester (%),91.0,82.0
39,Mothers who had at least 4 antenatal care visits (%),88.0,83.6
40,Mothers whose last birth was protected against neonatal tetanus (%),93.5,92.1
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),19.6,28.6
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.5,6.3
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.1,89.0
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.3,78.3
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,569","2,323"
