,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),56.3
1,Population below age 15 years (%),23.6
2,"Sex ratio of the total population (females per 1,000 males)",919
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,212"
4,Children under age 5 years whose birth was registered with the civil authority (%),98.8
5,Deaths in the last 3 years registered with the civil authority (%),84.0
6,Population living in households with electricity (%),99.5
7,Population living in households with an improved drinking-water source (%),81.4
8,Population living in households that use an improved sanitation facility(%),72.3
9,Households using clean fuel for cooking (%),39.5
10,Households using iodized salt (%),99.9
11,Households with any usual member covered under a health insurance/financing scheme (%),58.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(12.1)
13,Women who are literate (%),55.5
14,Women with 10 or more years of schooling (%),19.3
15,Women age 20-24 years married before age 18 years (%),35.6
16,Births in the 5 years preceding the survey that are third or higher order (%),0.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),67.6
19,Any method (%),78.2
20,Any modern method (%),73.0
21,Female sterilization (%),64.0
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),0.6
24,Pill (%),1.2
25,Condom (%),5.8
26,Injectables (%),0.0
27,Total unmet need(%),3.4
28,Unmet need for spacing (%),3.0
29,Health worker ever talked to female non-users about family planning (%),24.2
30,Current users ever told about side effects of current method (%),55.0
31,Mothers who had an antenatal check-up in the first trimester (%),70.1
32,Mothers who had at least 4 antenatal care visits (%),76.5
33,Mothers whose last birth was protected against neonatal tetanus (%),97.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),44.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6
37,(%),89.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,519"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),92.9
41,Institutional births (%),98.9
