Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),45.4,35.9
Population below age 15 years (%),34.8,40.0
"Sex ratio of the total population (females per 1,000 males)","1,008","1,023"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",942,950
Children under age 5 years whose birth was registered with the civil authority (%),87.0,55.6
Deaths in the last 3 years registered with the civil authority (%),74.5,na
Population living in households with electricity (%),98.5,92.9
Population living in households with an improved drinking-water source (%),89.6,89.1
Population living in households that use an improved sanitation facility(%),84.7,15.3
Households using clean fuel for cooking (%),17.4,11.7
Households using iodized salt (%),97.1,93.9
Households with any usual member covered under a health insurance/financing scheme (%),42.5,3.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,na
Women who are literate (%),40.8,na
Women with 10 or more years of schooling (%),17.3,9.6
Women age 20-24 years married before age 18 years (%),30.7,37.9
Births in the 5 years preceding the survey that are third or higher order (%),5.0,9.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.9,13.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),48.5,17.4
Any method (%),75.9,30.9
Any modern method (%),72.2,30.9
Female sterilization (%),61.2,26.7
Male sterilization (%),0.1,0.1
IUD/PPIUD (%),1.1,0.6
Pill (%),3.3,1.8
Condom (%),6.1,1.8
Injectables (%),0.4,0.0
Total unmet need(%),6.8,10.9
Unmet need for spacing (%),3.2,4.8
Health worker ever talked to female non-users about family planning (%),40.5,27.8
Current users ever told about side effects of current method (%),76.1,55.9
Mothers who had an antenatal check-up in the first trimester (%),67.0,29.7
Mothers who had at least 4 antenatal care visits (%),54.7,21.0
Mothers whose last birth was protected against neonatal tetanus (%),90.3,68.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54.5,12.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),18.0,6.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,59.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),79.9,44.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),602,795
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(10.7),2.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),74.6,na
Institutional births (%),83.2,50.4
Institutional births in public facility (%),80.0,45.9
Home births that were conducted by skilled health personnel (%),7.5,2.5
Births attended by skilled health personnel (%),87.5,49.9
Births delivered by caesarean section (%),4.2,1.6
Births in a private health facility that were delivered by caesarean section (%),*,(26.7)
Births in a public health facility that were delivered by caesarean section (%),3.3,0.8
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),84.1,22.6
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),82.7,*
Children age 12-23 months who have received BCG (%),97.6,82.9
Children age 12-23 months who have received 3 doses of polio vaccine (%),84.1,39.5
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.5,37.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.3,60.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.8,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),70.7,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.1,24.6
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),93.3,57.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,97.5
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.4,7.8
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,76.5
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,45.7
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,70.7
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.7,1.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,63.5
Children under age 3 years breastfed within one hour of birth (%),54.2,25.4
Children under age 6 months exclusively breastfed (%),78.7,58.0
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(37.1)
Breastfeeding children age 6-23 months receiving an adequate diet (%),2.6,3.5
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(5.3)
Total children age 6-23 months receiving an adequate diet (%),6.6,3.8
