Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),54.1,51.5
Population below age 15 years (%),33.3,36.5
"Sex ratio of the total population (females per 1,000 males)",997,"1,009"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",896,885
Children under age 5 years whose birth was registered with the civil authority (%),89.9,53.4
Deaths in the last 3 years registered with the civil authority (%),79.4,na
Population living in households with electricity (%),99.3,89.9
Population living in households with an improved drinking-water source (%),90.4,84.4
Population living in households that use an improved sanitation facility(%),61.0,19.7
Households using clean fuel for cooking (%),40.5,22.0
Households using iodized salt (%),90.3,97.6
Households with any usual member covered under a health insurance/financing scheme (%),29.2,27.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.3,na
Women who are literate (%),49.3,na
Women with 10 or more years of schooling (%),19.3,16.0
Women age 20-24 years married before age 18 years (%),29.6,43.1
Births in the 5 years preceding the survey that are third or higher order (%),3.8,6.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.0,14.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),51.0,19.9
Any method (%),76.1,50.7
Any modern method (%),73.5,50.3
Female sterilization (%),59.0,45.2
Male sterilization (%),0.3,0.1
IUD/PPIUD (%),0.9,0.2
Pill (%),2.9,0.6
Condom (%),7.9,3.9
Injectables (%),0.3,0.1
Total unmet need(%),6.6,8.9
Unmet need for spacing (%),3.5,5.3
Health worker ever talked to female non-users about family planning (%),41.3,19.3
Current users ever told about side effects of current method (%),78.7,22.0
Mothers who had an antenatal check-up in the first trimester (%),88.8,42.7
Mothers who had at least 4 antenatal care visits (%),64.2,26.3
Mothers whose last birth was protected against neonatal tetanus (%),90.1,73.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54.2,20.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.0,12.5
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.1,91.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),81.4,42.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,599",930
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),8.6,3.1
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),82.5,na
Institutional births (%),85.1,50.7
Institutional births in public facility (%),82.3,46.1
Home births that were conducted by skilled health personnel (%),5.4,2.8
Births attended by skilled health personnel (%),89.9,52.0
Births delivered by caesarean section (%),10.4,4.1
Births in a private health facility that were delivered by caesarean section (%),*,(25.6)
Births in a public health facility that were delivered by caesarean section (%),10.2,6.4
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),76.1,41.8
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),78.3,61.2
Children age 12-23 months who have received BCG (%),96.5,77.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),78.6,53.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.4,55.7
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.9,62.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.8,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),72.6,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.8,44.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.0,57.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,95.1
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.0,11.2
