Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),66.9,62.7
Population below age 15 years (%),28.5,29.9
"Sex ratio of the total population (females per 1,000 males)",979,855
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",968,821
Children under age 5 years whose birth was registered with the civil authority (%),93.1,82.4
Deaths in the last 3 years registered with the civil authority (%),79.3,na
Population living in households with electricity (%),98.2,88.2
Population living in households with an improved drinking-water source (%),95.5,93.2
Population living in households that use an improved sanitation facility(%),79.9,32.8
Households using clean fuel for cooking (%),31.0,18.3
Households using iodized salt (%),94.8,93.8
Households with any usual member covered under a health insurance/financing scheme (%),31.0,11.2
Children age 5 years who attended pre-primary school during the school year 2019-21 (%),6.9,na
Women who are literate (%),70.2,na
Women with 10 or more years of schooling (%),28.9,25.0
Women age 20-24 years married before age 18 years (%),25.1,33.4
Births in the 5 years preceding the survey that are third or higher order (%),2.2,2.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.5,6.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.3,41.9
Any method (%),58.7,55.7
Any modern method (%),48.5,53.6
Female sterilization (%),38.4,44.9
Male sterilization (%),0.2,0.2
IUD/PPIUD (%),1.2,0.8
Pill (%),0.7,2.0
Condom (%),5.7,5.5
Injectables (%),0.3,0.0
Total unmet need(%),17.2,13.8
Unmet need for spacing (%),7.6,6.4
Health worker ever talked to female non-users about family planning (%),27.8,22.5
Current users ever told about side effects of current method (%),69.7,32.3
Mothers who had an antenatal check-up in the first trimester (%),82.6,55.3
Mothers who had at least 4 antenatal care visits (%),63.1,28.0
Mothers whose last birth was protected against neonatal tetanus (%),94.3,92.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.1,23.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),29.8,5.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,94.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),84.2,45.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,252",771
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(2.2)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),85.9,na
Institutional births (%),93.5,85.6
Institutional births in public facility (%),82.1,78.3
Home births that were conducted by skilled health personnel (%),2.3,2.0
Births attended by skilled health personnel (%),93.5,86.7
Births delivered by caesarean section (%),11.9,4.9
Births in a private health facility that were delivered by caesarean section (%),(64.9),(36.3)
Births in a public health facility that were delivered by caesarean section (%),5.4,2.9
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),70.7,51.0
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),77.8,69.9
Children age 12-23 months who have received BCG (%),92.2,91.7
Children age 12-23 months who have received 3 doses of polio vaccine (%),74.9,61.5
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.1,78.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.4,82.4
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),24.4,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),78.0,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),81.7,58.3
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.1,67.5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.5,98.7
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.5,0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.0,8.8
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(49.1),(63.9)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(24.1),(25.1)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(73.2),(70.9)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.2,0.3
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,*
Children under age 3 years breastfed within one hour of birth (%),50.1,44.1
Children under age 6 months exclusively breastfed (%),(88.8),(33.3)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),14.8,2.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),13.6,2.8
Children under 5 years who are stunted (height-for-age) (%),32.2,47.6
Children under 5 years who are wasted (weight-for-height) (%),12.4,30.6
