Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),59.5,56.7
Population below age 15 years (%),26.9,31.0
"Sex ratio of the total population (females per 1,000 males)",991,988
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,056",992
Children under age 5 years whose birth was registered with the civil authority (%),93.9,86.0
Deaths in the last 3 years registered with the civil authority (%),76.7,na
Population living in households with electricity (%),97.6,95.9
Population living in households with an improved drinking-water source (%),89.2,87.2
Population living in households that use an improved sanitation facility(%),61.9,35.8
Households using clean fuel for cooking (%),44.8,34.6
Households using iodized salt (%),97.4,98.2
Households with any usual member covered under a health insurance/financing scheme (%),30.3,7.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),13.5,na
Women who are literate (%),55.6,na
Women with 10 or more years of schooling (%),23.8,20.2
Women age 20-24 years married before age 18 years (%),26.5,32.4
Births in the 5 years preceding the survey that are third or higher order (%),2.1,5.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.7,9.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),57.9,50.2
Any method (%),77.7,52.6
Any modern method (%),75.5,52.6
Female sterilization (%),60.9,45.0
Male sterilization (%),0.3,0.1
IUD/PPIUD (%),2.4,0.6
Pill (%),3.9,1.9
Condom (%),6.1,4.7
Injectables (%),1.2,0.3
Total unmet need(%),4.8,10.7
Unmet need for spacing (%),2.4,3.8
Health worker ever talked to female non-users about family planning (%),24.5,25.1
Current users ever told about side effects of current method (%),84.4,48.9
Mothers who had an antenatal check-up in the first trimester (%),81.7,61.7
Mothers who had at least 4 antenatal care visits (%),76.5,29.6
Mothers whose last birth was protected against neonatal tetanus (%),93.1,84.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),59.3,14.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.2,6.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),84.9,96.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),91.4,70.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,250","1,543"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,1.5
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),93.8,na
Institutional births (%),95.5,78.0
Institutional births in public facility (%),83.4,65.4
Home births that were conducted by skilled health personnel (%),1.1,1.3
Births attended by skilled health personnel (%),96.1,68.1
Births delivered by caesarean section (%),13.2,7.3
Births in a private health facility that were delivered by caesarean section (%),*,33.7
Births in a public health facility that were delivered by caesarean section (%),5.1,4.6
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(75.4),65.6
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(82.3),82.8
Children age 12-23 months who have received BCG (%),(94.3),94.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),(87.0),75.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.3),88.8
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(88.0),85.7
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(33.8),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(60.9),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(86.3),69.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),81.1,72.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),94.9
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),5.1
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.5,11.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,64.0
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,49.5
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,76.2
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9,3.3
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,82.5
Children under age 3 years breastfed within one hour of birth (%),38.2,20.9
Children under age 6 months exclusively breastfed (%),*,(72.1)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(47.8)
Breastfeeding children age 6-23 months receiving an adequate diet (%),(5.6),17.8
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(3.1)
Total children age 6-23 months receiving an adequate diet (%),4.6,14.6
Children under 5 years who are stunted (height-for-age) (%),28.8,42.6
Children under 5 years who are wasted (weight-for-height) (%),29.5,31.4
Children under 5 years who are severely wasted (weight-for-height) (%),11.1,10.5
Children under 5 years who are underweight (weight-for-age) (%),35.9,47.9
Children under 5 years who are overweight (weight-for-height) (%),5.2,1.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.1,30.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),10.1,12.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),49.4,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.0,75.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),49.5,55.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(68.6),63.7
All women age 15-49 years who are anaemic (%),50.2,56.2
All women age 15-19 years who are anaemic (%),63.9,58.5
Women - Blood sugar level - high (141-160 mg/dl)(%),5.4,na
Women - Blood sugar level - very high (>160 mg/dl)(%),3.1,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.7,na
