Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),64.8,59.4
Population below age 15 years (%),27.2,31.5
"Sex ratio of the total population (females per 1,000 males)","1,037","1,004"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",903,889
Children under age 5 years whose birth was registered with the civil authority (%),98.1,80.0
Deaths in the last 3 years registered with the civil authority (%),79.8,na
Population living in households with electricity (%),97.4,75.6
Population living in households with an improved drinking-water source (%),66.1,70.6
Population living in households that use an improved sanitation facility(%),47.9,7.7
Households using clean fuel for cooking (%),12.1,4.0
Households using iodized salt (%),88.4,78.9
Households with any usual member covered under a health insurance/financing scheme (%),47.2,35.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.3,na
Women who are literate (%),63.7,na
Women with 10 or more years of schooling (%),25.8,13.6
Women age 20-24 years married before age 18 years (%),21.1,37.2
Births in the 5 years preceding the survey that are third or higher order (%),3.0,2.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.7,10.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),37.5,15.9
Any method (%),78.1,66.8
Any modern method (%),70.4,63.0
Female sterilization (%),62.4,61.2
Male sterilization (%),0.6,0.9
IUD/PPIUD (%),1.8,0.4
Pill (%),1.0,0.1
Condom (%),2.2,0.4
Injectables (%),0.7,0.0
Total unmet need(%),3.5,7.9
Unmet need for spacing (%),2.5,3.6
Health worker ever talked to female non-users about family planning (%),38.3,16.7
Current users ever told about side effects of current method (%),73.4,26.3
Mothers who had an antenatal check-up in the first trimester (%),79.5,44.9
Mothers who had at least 4 antenatal care visits (%),56.5,23.5
Mothers whose last birth was protected against neonatal tetanus (%),95.8,89.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.6,18.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),37.5,2.5
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.5,89.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),82.9,45.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),193,606
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),16.4,1.6
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),80.9,na
Institutional births (%),77.6,55.8
Institutional births in public facility (%),76.6,53.4
Home births that were conducted by skilled health personnel (%),7.0,4.4
Births attended by skilled health personnel (%),84.3,54.1
Births delivered by caesarean section (%),2.1,1.1
Births in a private health facility that were delivered by caesarean section (%),*,*
Births in a public health facility that were delivered by caesarean section (%),2.1,1.0
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),80.3,49.4
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),81.7,(63.9)
Children age 12-23 months who have received BCG (%),96.4,97.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),88.6,66.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.3,71.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.4,85.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),29.7,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),66.6,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.2,53.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),76.5,67.2
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.9,12.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(55.3)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(15.6)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(57.3)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.8,1.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(30.6),(55.9)
Children under age 3 years breastfed within one hour of birth (%),48.4,36.8
Children under age 6 months exclusively breastfed (%),(85.5),(35.5)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),13.0,1.9
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),12.9,1.8
Children under 5 years who are stunted (height-for-age) (%),38.9,45.8
Children under 5 years who are wasted (weight-for-height) (%),15.8,27.4
Children under 5 years who are severely wasted (weight-for-height) (%),4.6,10.5
Children under 5 years who are underweight (weight-for-age) (%),33.6,46.6
Children under 5 years who are overweight (weight-for-height) (%),1.9,1.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),29.3,35.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),7.9,4.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),37.2,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),78.1,66.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),65.0,66.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(69.8),(59.3)
All women age 15-49 years who are anaemic (%),65.2,66.5
All women age 15-19 years who are anaemic (%),64.2,64.1
Women - Blood sugar level - high (141-160 mg/dl)(%),4.5,na
Women - Blood sugar level - very high (>160 mg/dl)(%),4.0,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.8,na
Men - Blood sugar level - high (141-160 mg/dl)(%),4.4,na
Men - Blood sugar level - very high (>160 mg/dl) (%),6.0,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.6,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.2,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.9,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),25.2,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.0,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.3,na
