,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),74.0,70.7
1,Population below age 15 years (%),24.7,26.2
2,"Sex ratio of the total population (females per 1,000 males)",951,928
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",950,958
4,Children under age 5 years whose birth was registered with the civil authority (%),93.6,93.2
5,Deaths in the last 3 years registered with the civil authority (%),71.7,na
6,Population living in households with electricity (%),97.2,95.0
7,Population living in households with an improved drinking-water source (%),93.5,90.4
8,Population living in households that use an improved sanitation facility(%),68.5,47.5
9,Households using clean fuel for cooking (%),47.3,34.4
10,Households using iodized salt (%),96.3,99.4
11,Households with any usual member covered under a health insurance/financing scheme (%),28.6,27.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),23.5,na
13,Women who are literate (%),67.6,na
14,Women with 10 or more years of schooling (%),35.5,28.2
15,Women age 20-24 years married before age 18 years (%),16.7,18.3
16,Births in the 5 years preceding the survey that are third or higher order (%),2.7,2.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2,2.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),55.6,43.1
19,Any method (%),28.6,50.2
20,Any modern method (%),28.0,49.6
21,Female sterilization (%),20.0,42.4
22,Male sterilization (%),0.2,0.2
23,IUD/PPIUD (%),0.4,0.4
24,Pill (%),1.6,0.7
25,Condom (%),4.9,5.7
26,Injectables (%),0.1,0.3
27,Total unmet need(%),17.7,9.2
28,Unmet need for spacing (%),7.1,4.2
29,Health worker ever talked to female non-users about family planning (%),16.8,27.5
30,Current users ever told about side effects of current method (%),52.1,45.8
31,Mothers who had an antenatal check-up in the first trimester (%),42.4,55.2
32,Mothers who had at least 4 antenatal care visits (%),31.5,46.3
33,Mothers whose last birth was protected against neonatal tetanus (%),89.3,95.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),44.9,26.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.3,12.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.5,94.5
37,days of delivery (%),67.6,73.7
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,623","1,088"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
40,days of delivery (%),71.8,na
41,Institutional births (%),91.8,88.8
42,Institutional births in public facility (%),79.5,77.6
43,Home births that were conducted by skilled health personnel (%),0.8,2.3
44,Births attended by skilled health personnel (%),82.0,82.8
45,Births delivered by caesarean section (%),22.5,11.8
46,Births in a private health facility that were delivered by caesarean section (%),(53.9),49.3
47,Births in a public health facility that were delivered by caesarean section (%),20.1,8.2
48,mother's recall (%),73.5,49.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(90.3),69.8
50,Children age 12-23 months who have received BCG (%),94.9,97.3
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),79.0,60.5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.9,73.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.9,79.0
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),42.3,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),79.7,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.9,55.2
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.1,73.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.1,98.4
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.9,1.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.2,10.5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(51.2),72.4
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(33.4),63.4
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(74.2),69.3
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.3,1.7
65,health provider (%),56.2,73.4
66,Children under age 3 years breastfed within one hour of birth (%),36.0,36.7
67,Children under age 6 months exclusively breastfed (%),(73.9),36.5
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(26.8)
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.5,1.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(1.6)
71,Total children age 6-23 months receiving an adequate diet (%),11.2,1.6
72,Children under 5 years who are stunted (height-for-age) (%),34.8,37.2
73,Children under 5 years who are wasted (weight-for-height) (%),19.5,29.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.2,10.6
75,Children under 5 years who are underweight (weight-for-age) (%),27.2,40.7
76,Children under 5 years who are overweight (weight-for-height) (%),2.8,1.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),21.9,23.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),20.6,14.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),31.9,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),78.8,67.3
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),52.4,55.9
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(35.3),53.0
83,All women age 15-49 years who are anaemic (%),51.9,55.8
84,All women age 15-19 years who are anaemic (%),52.1,57.9
85,Blood sugar level - high (141-160 mg/dl)(%),2.4,na
86,Blood sugar level - very high (>160 mg/dl)(%),3.3,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.1,na
88,Blood sugar level - high (141-160 mg/dl)(%),5.4,na
89,Blood sugar level - very high (>160 mg/dl) (%),4.7,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.4,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.0,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.0,na
93,blood pressure (%),24.0,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.9,na
