,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),78.0,75.3
1,Population below age 15 years (%),23.8,27.6
2,"Sex ratio of the total population (females per 1,000 males)",987,895
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",996,849
4,Children under age 5 years whose birth was registered with the civil authority (%),96.6,92.2
5,Deaths in the last 3 years registered with the civil authority (%),81.3,na
6,Population living in households with electricity (%),100.0,99.3
7,Population living in households with an improved drinking-water source (%),98.9,99.6
8,Population living in households that use an improved sanitation facility(%),90.0,75.2
9,Households using clean fuel for cooking (%),86.9,84.9
10,Households using iodized salt (%),98.3,99.8
11,Households with any usual member covered under a health insurance/financing scheme (%),40.3,15.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.6,na
13,Women who are literate (%),80.3,na
14,Women with 10 or more years of schooling (%),47.7,41.4
15,Women age 20-24 years married before age 18 years (%),21.7,23.4
16,Births in the 5 years preceding the survey that are third or higher order (%),1.9,1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.2,5.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),83.7,71.6
19,Any method (%),83.4,54.0
20,Any modern method (%),79.6,52.9
21,Female sterilization (%),47.9,37.3
22,Male sterilization (%),1.0,0.5
23,IUD/PPIUD (%),2.3,0.7
24,Pill (%),4.6,3.1
25,Condom (%),22.0,11.1
26,Injectables (%),1.0,0.1
27,Total unmet need(%),4.0,11.6
28,Unmet need for spacing (%),2.0,5.7
29,Health worker ever talked to female non-users about family planning (%),27.1,21.4
30,Current users ever told about side effects of current method (%),79.1,57.4
31,Mothers who had an antenatal check-up in the first trimester (%),86.4,81.8
32,Mothers who had at least 4 antenatal care visits (%),74.6,76.1
33,Mothers whose last birth was protected against neonatal tetanus (%),97.7,97.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.3,34.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),37.1,19.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.2,97.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),92.6,67.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,835","1,812"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),93.3,na
41,Institutional births (%),96.5,94.7
42,Institutional births in public facility (%),63.5,50.6
43,Home births that were conducted by skilled health personnel (%),2.6,1.0
44,Births attended by skilled health personnel (%),97.8,95.2
45,Births delivered by caesarean section (%),21.9,21.6
46,Births in a private health facility that were delivered by caesarean section (%),49.7,36.4
47,Births in a public health facility that were delivered by caesarean section (%),8.6,10.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),84.6,57.8
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),90.3,89.8
50,Children age 12-23 months who have received BCG (%),96.0,97.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),86.1,60.8
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.1,73.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.1,82.9
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),36.4,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),65.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.8,54.1
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.3,70.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.8,74.1
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.2,25.9
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.2,5.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(57.9)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(12.0)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(90.7)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.9,0.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(78.8),(83.3)
66,Children under age 3 years breastfed within one hour of birth (%),29.3,21.9
67,Children under age 6 months exclusively breastfed (%),*,61.3
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(60.9)
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.0,12.0
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(0.6)
71,Total children age 6-23 months receiving an adequate diet (%),9.8,10.3
72,Children under 5 years who are stunted (height-for-age) (%),28.7,39.2
73,Children under 5 years who are wasted (weight-for-height) (%),21.2,17.8
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.3,6.7
75,Children under 5 years who are underweight (weight-for-age) (%),24.9,30.6
76,Children under 5 years who are overweight (weight-for-height) (%),2.2,4.5
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.6,18.9
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),19.0,23.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),34.2,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),78.8,71.2
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),47.9,46.5
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(52.8),53.6
83,All women age 15-49 years who are anaemic (%),48.1,46.8
84,All women age 15-19 years who are anaemic (%),55.9,48.9
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.9,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.0,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.9,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.8,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),4.1,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.5,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.2,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.1,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),20.7,na
