Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),45.9,36.4
Population below age 15 years (%),38.9,41.2
"Sex ratio of the total population (females per 1,000 males)","1,061",969
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,156","1,026"
Children under age 5 years whose birth was registered with the civil authority (%),90.3,60.5
Deaths in the last 3 years registered with the civil authority (%),75.4,na
Population living in households with electricity (%),98.9,88.8
Population living in households with an improved drinking-water source (%),85.2,85.8
Population living in households that use an improved sanitation facility(%),57.6,12.4
Households using clean fuel for cooking (%),17.5,9.1
Households using iodized salt (%),96.1,93.6
Households with any usual member covered under a health insurance/financing scheme (%),43.7,2.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.7,na
Women who are literate (%),37.1,na
Women with 10 or more years of schooling (%),16.0,9.3
Women age 20-24 years married before age 18 years (%),36.5,54.5
Births in the 5 years preceding the survey that are third or higher order (%),7.1,6.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.7,24.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),50.4,13.6
Any method (%),76.0,10.4
Any modern method (%),71.6,10.4
Female sterilization (%),58.8,8.2
Male sterilization (%),0.2,0.2
IUD/PPIUD (%),1.0,0.3
Pill (%),1.8,0.5
Condom (%),5.4,1.1
Injectables (%),0.0,0.0
Total unmet need(%),5.8,15.2
Unmet need for spacing (%),2.4,6.2
Health worker ever talked to female non-users about family planning (%),38.2,21.3
Current users ever told about side effects of current method (%),84.2,(43.4)
Mothers who had an antenatal check-up in the first trimester (%),92.9,29.3
Mothers who had at least 4 antenatal care visits (%),63.6,20.8
Mothers whose last birth was protected against neonatal tetanus (%),96.0,81.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.3,19.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.6,10.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.7,79.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),86.5,51.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,132",979
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,7.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),87.7,na
Institutional births (%),92.9,74.2
Institutional births in public facility (%),86.1,65.7
Home births that were conducted by skilled health personnel (%),1.7,4.2
Births attended by skilled health personnel (%),94.2,68.8
Births delivered by caesarean section (%),7.0,3.5
Births in a private health facility that were delivered by caesarean section (%),(44.1),27.7
Births in a public health facility that were delivered by caesarean section (%),4.6,1.7
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),88.9,25.0
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),92.2,*
Children age 12-23 months who have received BCG (%),98.7,78.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),93.1,30.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.6,46.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.6,71.7
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),45.3,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),85.5,na
