Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),62.1,60.1
Population below age 15 years (%),25.9,28.4
"Sex ratio of the total population (females per 1,000 males)",936,964
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,043",984
Children under age 5 years whose birth was registered with the civil authority (%),94.6,86.7
Deaths in the last 3 years registered with the civil authority (%),78.8,na
Population living in households with electricity (%),98.8,98.1
Population living in households with an improved drinking-water source (%),97.0,90.4
Population living in households that use an improved sanitation facility(%),73.8,32.9
Households using clean fuel for cooking (%),61.6,31.7
Households using iodized salt (%),97.2,99.4
Households with any usual member covered under a health insurance/financing scheme (%),43.7,10.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,na
Women who are literate (%),59.5,na
Women with 10 or more years of schooling (%),27.2,17.2
Women age 20-24 years married before age 18 years (%),13.3,25.9
Births in the 5 years preceding the survey that are third or higher order (%),2.7,3.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.8,7.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),69.1,41.1
Any method (%),77.8,70.6
Any modern method (%),75.0,70.1
Female sterilization (%),62.4,62.7
Male sterilization (%),0.1,0.3
IUD/PPIUD (%),0.9,1.1
Pill (%),1.9,1.9
Condom (%),9.1,4.1
Injectables (%),0.5,0.1
Total unmet need(%),5.5,6.6
Unmet need for spacing (%),3.7,3.8
Health worker ever talked to female non-users about family planning (%),40.0,27.7
Current users ever told about side effects of current method (%),85.7,60.7
Mothers who had an antenatal check-up in the first trimester (%),72.8,64.1
Mothers who had at least 4 antenatal care visits (%),61.3,38.8
Mothers whose last birth was protected against neonatal tetanus (%),93.2,94.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.3,24.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.8,10.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.7,90.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),83.7,54.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,657",763
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,0.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),83.6,na
Institutional births (%),92.8,74.3
Institutional births in public facility (%),85.6,64.7
Home births that were conducted by skilled health personnel (%),1.3,2.2
Births attended by skilled health personnel (%),88.2,73.9
Births delivered by caesarean section (%),15.3,10.9
Births in a private health facility that were delivered by caesarean section (%),*,(50.2)
Births in a public health facility that were delivered by caesarean section (%),13.6,9.4
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),77.4,64.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),76.9,85.2
Children age 12-23 months who have received BCG (%),95.1,91.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),81.0,71.5
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86.6,71.7
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.2,86.6
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),51.4,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),69.5,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.6,66.5
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),96.0,84.5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.4,13.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,57.6
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,18.6
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,70.2
