,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),64.1,60.4
1,Population below age 15 years (%),23.8,27.4
2,"Sex ratio of the total population (females per 1,000 males)",982,978
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",993,836
4,Children under age 5 years whose birth was registered with the civil authority (%),99.6,88.3
5,Deaths in the last 3 years registered with the civil authority (%),78.5,na
6,Population living in households with electricity (%),99.6,98.2
7,Population living in households with an improved drinking-water source (%),91.7,78.3
8,Population living in households that use an improved sanitation facility(%),68.9,33.9
9,Households using clean fuel for cooking (%),52.4,34.7
10,Households using iodized salt (%),99.6,98.4
11,Households with any usual member covered under a health insurance/financing scheme (%),43.3,6.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.0,na
13,Women who are literate (%),67.3,na
14,Women with 10 or more years of schooling (%),27.9,19.6
15,Women age 20-24 years married before age 18 years (%),29.3,37.6
16,Births in the 5 years preceding the survey that are third or higher order (%),1.2,1.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.1,4.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),66.4,52.8
19,Any method (%),73.4,17.6
20,Any modern method (%),66.3,17.5
21,Female sterilization (%),48.9,13.8
22,Male sterilization (%),1.0,0.3
23,IUD/PPIUD (%),0.5,0.2
24,Pill (%),2.9,1.2
25,Condom (%),11.1,2.0
26,Injectables (%),0.1,0.0
27,Total unmet need(%),7.6,12.2
28,Unmet need for spacing (%),3.9,4.7
29,Health worker ever talked to female non-users about family planning (%),32.4,11.0
30,Current users ever told about side effects of current method (%),74.6,(72.3)
31,Mothers who had an antenatal check-up in the first trimester (%),88.9,47.7
32,Mothers who had at least 4 antenatal care visits (%),60.6,33.0
33,Mothers whose last birth was protected against neonatal tetanus (%),94.3,89.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.4,22.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.3,10.1
