Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),65.2,64.8
Population below age 15 years (%),28.6,33.4
"Sex ratio of the total population (females per 1,000 males)","1,055",995
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",954,906
Children under age 5 years whose birth was registered with the civil authority (%),93.8,80.7
Deaths in the last 3 years registered with the civil authority (%),55.1,na
Population living in households with electricity (%),96.5,88.8
Population living in households with an improved drinking-water source (%),82.1,88.6
Population living in households that use an improved sanitation facility(%),46.1,27.5
Households using clean fuel for cooking (%),21.4,13.2
Households using iodized salt (%),92.1,89.6
Households with any usual member covered under a health insurance/financing scheme (%),29.4,20.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.3,na
Women who are literate (%),62.3,na
Women with 10 or more years of schooling (%),23.1,23.1
Women age 20-24 years married before age 18 years (%),28.2,37.3
Births in the 5 years preceding the survey that are third or higher order (%),5.5,7.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.8,4.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),40.3,31.5
Any method (%),70.7,59.3
Any modern method (%),59.9,51.4
Female sterilization (%),46.7,46.6
Male sterilization (%),1.2,1.0
IUD/PPIUD (%),1.3,0.7
Pill (%),1.2,0.6
Condom (%),6.4,2.4
Injectables (%),1.0,0.2
Total unmet need(%),8.8,14.7
Unmet need for spacing (%),3.8,7.0
Health worker ever talked to female non-users about family planning (%),24.2,22.2
Current users ever told about side effects of current method (%),66.3,44.1
Mothers who had an antenatal check-up in the first trimester (%),51.7,40.2
Mothers who had at least 4 antenatal care visits (%),33.0,24.4
Mothers whose last birth was protected against neonatal tetanus (%),95.5,88.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.9,13.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),18.3,1.5
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.2,94.5
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),77.7,53.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),2318,1462
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(6.0),2.1
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),77.8,na
Institutional births (%),80.4,81.6
Institutional births in public facility (%),76.4,75.6
Home births that were conducted by skilled health personnel (%),4.1,3.0
Births attended by skilled health personnel (%),79.9,76.9
Births delivered by caesarean section (%),9.7,3.5
Births in a private health facility that were delivered by caesarean section (%),*,(19.2)
Births in a public health facility that were delivered by caesarean section (%),9.5,3.1
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),70.3,52.8
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),77.7,(83.4)
Children age 12-23 months who have received BCG (%),96.1,94.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),70.3,69.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.2,72.4
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.5,82.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),39.8,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),68.0,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.6,55.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),82.2,70.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.2,95.9
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.0,9.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(50.5),(51.8)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(33.2),(28.2)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(68.5),(58.5)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,2.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),69.5,62.2
Children under age 3 years breastfed within one hour of birth (%),35.9,44.8
Children under age 6 months exclusively breastfed (%),(65.9),(46.3)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(45.6)
Breastfeeding children age 6-23 months receiving an adequate diet (%),11.2,4.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),10.1,5.0
Children under 5 years who are stunted (height-for-age) (%),37.0,40.4
Children under 5 years who are wasted (weight-for-height) (%),18.7,18.0
Children under 5 years who are severely wasted (weight-for-height) (%),8.3,7.4
Children under 5 years who are underweight (weight-for-age) (%),31.5,36.2
Children under 5 years who are overweight (weight-for-height) (%),2.9,1.9
