District,Agency,Households,Women,Men
Agar Malwa,Development and Research Services Pvt. Ltd. (DRS),712,588,82
Alirajpur,Indian Institute of Development Management (IIDM),974,1080,157
Anuppur,Development and Research Services Pvt. Ltd. (DRS),948,1020,187
Ashoknagar,Indian Institute of Development Management (IIDM),827,862,96
Balaghat,Development and Research Services Pvt. Ltd. (DRS),830,860,137
Barwani,Indian Institute of Development Management (IIDM),981,1236,189
Betul,Development and Research Services Pvt. Ltd. (DRS),911,1021,141
Bhind,Indian  Institute  of  Development Management (IIDM),900,956,133
Bhopal,Indian Institute of Development Management (IIDM),376,337,38
Burhanpur,Indian Institute of Development Management (IIDM),955,1139,197
Chhatarpur,Development and Research Services Pvt. Ltd. (DRS),935,1001,161
Chhindwara,Development and Research Services Pvt. Ltd. (DRS),926,1009,128
Damoh,Development and Research Services Pvt. Ltd. (DRS),942,988,160
Datia,Indian  Institute  of  Development Management (IIDM),906,1015,145
Dewas,Indian Institute of Development Management (IIDM),953,1107,188
Dhar,Indian  Institute  of  Development Management (IIDM),592,679,101
Dindori,Development and Research Services Pvt. Ltd. (DRS),951,1047,163
Guna,Indian  Institute  of  Development Management (IIDM),955,1165,162
Gwalior,Indian Institute of Development Management (IIDM),866,958,123
Harda,Indian Institute of Development Management (IIDM),980,1207,204
Hoshangabad,Indian Institute of Development Management (IIDM),942,1042,162
Indore,Indian Institute of Development Management (IIDM),868,1071,188
Jabalpur,Development and Research Services Pvt. Ltd. (DRS),213,216,36
Jhabua,Indian Institute of Development Management (IIDM),960,1037,140
Katni,Development and Research Services Pvt. Ltd. (DRS),739,777,101
Khandwa (East Nimar),Indian Institute of Development  Management  (IIDM),531,562,17
Khargone (West Nimar),Indian Institute of Development  Management  (IIDM),974,1173,180
Mandla,Development and Research Services Pvt. Ltd. (DRS),971,1049,153
Mandsaur,Indian Institute of Development Management (IIDM),932,1015,173
Morena,Indian Institute of Development Management (IIDM),932,1079,137
Narsinghpur,Development and Research Services Pvt. Ltd. (DRS),958,1110,160
Neemuch,Indian Institute of Development Management (IIDM),962,1178,181
Panna,Development and Research Services Pvt. Ltd. (DRS),946,992,152
Raisen,Indian Institute of Development Management (IIDM),463,474,52
Rajgarh,Indian Institute of Development Management (IIDM),898,1020,144
Ratlam,Indian Institute of Development Management (IIDM),915,1087,158
Rewa,Development and Research Services Pvt. Ltd. (DRS),859,927,83
Sagar,Development and Research Services Pvt. Ltd. (DRS),925,1014,174
Satna,Development and Research Services Pvt. Ltd. (DRS),666,689,79
Sehore,Indian Institute of Development Management (IIDM),933,1088,168
Seoni,Development and Research Services Pvt. Ltd. (DRS),909,989,136
Shahdol,Development and Research Services Pvt. Ltd. (DRS),868,860,127
Shajapur,Indian  Institute  of  Development Management (IIDM),970,1226,184
Sheopur,Indian Institute of Development Management (IIDM),883,997,119
Shivpuri,Indian Institute of Development Management (IIDM),810,790,115
Sidhi,Development and Research Services Pvt. Ltd. (DRS),978,1148,136
Singrauli,Development and Research Services Pvt. Ltd. (DRS),706,643,64
Tikamgarh,Development and Research Services Pvt. Ltd. (DRS),630,620,82
Ujjain,Indian  Institute  of  Development Management (IIDM),902,1108,194
Umaria,Development and Research Services Pvt. Ltd. (DRS),879,1135,172
Vidisha,Development and Research Services Pvt. Ltd. (DRS),910,1019,166
