,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),71.9,66.5
1,Population below age 15 years (%),27.5,30.7
2,"Sex ratio of the total population (females per 1,000 males)","1,014",993
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",658,942
4,Children under age 5 years whose birth was registered with the civil authority (%),95.1,80.9
5,Deaths in the last 3 years registered with the civil authority (%),44.2,na
6,Population living in households with electricity (%),97.8,90.2
7,Population living in households with an improved drinking-water source (%),92.7,92.1
8,Population living in households that use an improved sanitation facility(%),55.4,32.4
9,Households using clean fuel for cooking (%),35.2,22.1
10,Households using iodized salt (%),93.3,92.4
11,Households with any usual member covered under a health insurance/financing scheme (%),22.0,23.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.2,na
13,Women who are literate (%),69.1,na
14,Women with 10 or more years of schooling (%),31.5,25.0
15,Women age 20-24 years married before age 18 years (%),12.9,37.4
16,Births in the 5 years preceding the survey that are third or higher order (%),5.7,4.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.7,4.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),59.2,27.1
19,Any method (%),71.6,54.9
20,Any modern method (%),61.2,49.0
21,Female sterilization (%),52.1,42.1
22,Male sterilization (%),2.4,1.6
23,IUD/PPIUD (%),0.7,0.9
24,Pill (%),0.5,0.7
25,Condom (%),3.8,3.3
26,Injectables (%),0.5,0.2
27,Total unmet need(%),9.1,14.0
28,Unmet need for spacing (%),3.4,7.1
29,Health worker ever talked to female non-users about family planning (%),25.8,15.3
30,Current users ever told about side effects of current method (%),69.8,22.1
31,Mothers who had an antenatal check-up in the first trimester (%),68.6,50.1
32,Mothers who had at least 4 antenatal care visits (%),51.5,23.1
33,Mothers whose last birth was protected against neonatal tetanus (%),96.1,85.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),41.3,17.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),26.0,4.1
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),89.0,91.7
37,days of delivery (%),81.3,53.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,117","4,337"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,8.0
40,days of delivery (%),79.7,na
41,Institutional births (%),85.5,80.4
42,Institutional births in public facility (%),75.1,72.3
43,Home births that were conducted by skilled health personnel (%),4.6,3.6
44,Births attended by skilled health personnel (%),86.3,82.6
45,Births delivered by caesarean section (%),8.8,6.2
46,Births in a private health facility that were delivered by caesarean section (%),*,(23.3)
47,Births in a public health facility that were delivered by caesarean section (%),5.7,5.9
48,mother's recall (%),(76.3),52.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(79.5),(74.3)
50,Children age 12-23 months who have received BCG (%),(94.9),92.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(76.3),63.3
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.8),80.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(88.4),84.7
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(41.3),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(43.4),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(87.0),57.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),61.9,64.9
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),94.6
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),5.4
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.0,8.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(25.8)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(32.0)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(42.8)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.2,3.4
65,health provider (%),(66.2),(69.3)
66,Children under age 3 years breastfed within one hour of birth (%),22.2,33.0
67,Children under age 6 months exclusively breastfed (%),*,(55.7)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),7.2,4.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),7.0,4.1
72,Children under 5 years who are stunted (height-for-age) (%),49.4,41.2
73,Children under 5 years who are wasted (weight-for-height) (%),16.8,26.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.2,10.1
75,Children under 5 years who are underweight (weight-for-age) (%),31.2,39.6
76,Children under 5 years who are overweight (weight-for-height) (%),2.3,1.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),21.3,22.2
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),20.4,15.9
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),44.6,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),81.8,70.3
