,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),68.5,58.2
2,Population below age 15 years (%),25.6,29.2
3,"Sex ratio of the total population (females per 1,000 males)",894,927
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",824,943
5,Children under age 5 years whose birth was registered with the civil authority (%),91.7,86.4
6,Deaths in the last 3 years registered with the civil authority (%),66.2,na
7,Population living in households with electricity (%),99.2,98.3
8,Population living in households with an improved drinking-water source (%),92.2,89.4
9,Population living in households that use an improved sanitation facility(%),75.2,48.6
10,Households using clean fuel for cooking (%),33.7,24.9
11,Households using iodized salt (%),97.6,97.8
12,Households with any usual member covered under a health insurance/financing scheme (%),33.2,16.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.5,na
15,Women who are literate (%),64.3,na
16,Women with 10 or more years of schooling (%),28.2,22.5
18,Women age 20-24 years married before age 18 years (%),21.7,37.3
19,Births in the 5 years preceding the survey that are third or higher order (%),2.1,3.9
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.2,4.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),49.8,47.1
23,Any method (%),53.4,55.1
24,Any modern method (%),51.5,54.7
25,Female sterilization (%),34.6,44.5
26,Male sterilization (%),0.4,0.6
27,IUD/PPIUD (%),0.7,0.2
28,Pill (%),2.9,1.7
29,Condom (%),11.3,7.6
30,Injectables (%),0.8,0.0
32,Total unmet need(%),14.7,16.2
33,Unmet need for spacing (%),6.1,6.9
35,Health worker ever talked to female non-users about family planning (%),14.6,34.4
36,Current users ever told about side effects of current method (%),51.5,57.1
39,Mothers who had an antenatal check-up in the first trimester (%),58.5,65.1
40,Mothers who had at least 4 antenatal care visits (%),45.0,40.9
41,Mothers whose last birth was protected against neonatal tetanus (%),92.8,95.2
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.3,20.4
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.3,10.4
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.4,97.9
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.4,67.7
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,654",971
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.4,na
52,Institutional births (%),94.7,88.3
53,Institutional births in public facility (%),82.9,77.7
54,Home births that were conducted by skilled health personnel (%),1.2,1.9
55,Births attended by skilled health personnel (%),86.9,81.2
56,Births delivered by caesarean section (%),14.5,8.6
57,Births in a private health facility that were delivered by caesarean section (%),(49.0),(45.9)
58,Births in a public health facility that were delivered by caesarean section (%),10.5,4.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),60.3,60.0
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(82.7),77.7
63,Children age 12-23 months who have received BCG (%),93.3,98.9
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),65.7,74.1
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.7,78.0
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),80.8,86.1
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.1,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),55.1,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.9,63.3
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.5,71.1
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,97.6
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,2.4
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.9,7.6
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(50.7),(61.3)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(19.0),(71.0)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(51.3),(87.5)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,1.5
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),70.8,(77.0)
