Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),71.3,68.6
Population below age 15 years (%),24.2,28.0
"Sex ratio of the total population (females per 1,000 males)","1,089","1,031"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,212",951
Children under age 5 years whose birth was registered with the civil authority (%),98.4,89.4
Deaths in the last 3 years registered with the civil authority (%),80.3,na
Population living in households with electricity (%),99.2,83.9
Population living in households with an improved drinking-water source (%),79.1,77.6
Population living in households that use an improved sanitation facility(%),56.2,23.7
Households using clean fuel for cooking (%),29.0,18.0
Households using iodized salt (%),96.7,92.9
Households with any usual member covered under a health insurance/financing scheme (%),44.6,21.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.7,na
Women who are literate (%),71.6,na
Women with 10 or more years of schooling (%),33.0,22.2
Women age 20-24 years married before age 18 years (%),11.2,17.3
Births in the 5 years preceding the survey that are third or higher order (%),2.7,3.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.7,3.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),60.6,23.1
Any method (%),78.0,70.0
Any modern method (%),74.5,69.7
Female sterilization (%),65.0,66.4
Male sterilization (%),0.4,0.4
IUD/PPIUD (%),1.3,0.1
Pill (%),0.8,0.8
Condom (%),4.7,1.8
Injectables (%),0.3,0.0
Total unmet need(%),4.4,6.4
Unmet need for spacing (%),2.9,4.7
Health worker ever talked to female non-users about family planning (%),37.0,18.9
Current users ever told about side effects of current method (%),57.6,18.6
Mothers who had an antenatal check-up in the first trimester (%),83.7,55.1
Mothers who had at least 4 antenatal care visits (%),64.5,41.9
Mothers whose last birth was protected against neonatal tetanus (%),98.2,96.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),70.8,37.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),40.2,9.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,98.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),93.4,54.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),699,700
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),94.9,na
Institutional births (%),94.8,85.8
Institutional births in public facility (%),86.8,76.8
Home births that were conducted by skilled health personnel (%),1.5,1.6
Births attended by skilled health personnel (%),86.1,82.6
Births delivered by caesarean section (%),15.9,7.5
Births in a private health facility that were delivered by caesarean section (%),(86.6),(52.6)
Births in a public health facility that were delivered by caesarean section (%),10.3,3.5
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),88.8,57.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),96.1,(87.4)
Children age 12-23 months who have received BCG (%),98.2,98.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),90.3,64.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.8,93.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.4,89.8
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),38.8,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),81.6,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),96.2,63.9
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),93.8,81.8
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,98.7
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.7,6.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,2.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,*
Children under age 3 years breastfed within one hour of birth (%),57.0,46.3
Children under age 6 months exclusively breastfed (%),(93.6),(64.6)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),13.0,10.8
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),12.1,10.4
Children under 5 years who are stunted (height-for-age) (%),23.5,34.7
Children under 5 years who are wasted (weight-for-height) (%),21.1,32.4
Children under 5 years who are severely wasted (weight-for-height) (%),5.0,12.9
Children under 5 years who are underweight (weight-for-age) (%),31.1,43.8
Children under 5 years who are overweight (weight-for-height) (%),0.0,0.4
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),26.6,32.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.7,8.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),36.7,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.8,60.8
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.0,55.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(57.8),(49.9)
All women age 15-49 years who are anaemic (%),59.9,55.3
All women age 15-19 years who are anaemic (%),58.9,53.4
Women - Blood sugar level - high (141-160 mg/dl)(%),5.8,na
Women - Blood sugar level - very high (>160 mg/dl)(%),4.7,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.1,na
Men - Blood sugar level - high (141-160 mg/dl)(%),6.7,na
Men - Blood sugar level - very high (>160 mg/dl) (%),9.3,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.2,na
