,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),68.9,63.9
1,Population below age 15 years (%),23.7,28.9
2,"Sex ratio of the total population (females per 1,000 males)",957,968
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",958,"1,062"
4,Children under age 5 years whose birth was registered with the civil authority (%),96.4,85.3
5,Deaths in the last 3 years registered with the civil authority (%),86.3,na
6,Population living in households with electricity (%),99.3,97.5
7,Population living in households with an improved drinking-water source (%),94.7,93.1
8,Population living in households that use an improved sanitation facility(%),72.8,53.7
9,Households using clean fuel for cooking (%),60.7,46.5
10,Households using iodized salt (%),98.7,98.2
11,Households with any usual member covered under a health insurance/financing scheme (%),35.7,10.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.9,na
13,Women who are literate (%),64.3,na
14,Women with 10 or more years of schooling (%),29.0,20.7
15,Women age 20-24 years married before age 18 years (%),33.4,45.5
16,Births in the 5 years preceding the survey that are third or higher order (%),1.6,2.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.1,9.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.4,55.3
19,Any method (%),75.4,35.1
20,Any modern method (%),72.9,34.6
21,Female sterilization (%),56.1,26.1
22,Male sterilization (%),0.4,0.2
23,IUD/PPIUD (%),0.9,0.4
24,Pill (%),3.1,1.8
25,Condom (%),11.8,6.0
26,Injectables (%),0.1,0.0
27,Total unmet need(%),6.4,14.3
28,Unmet need for spacing (%),4.2,6.8
29,Health worker ever talked to female non-users about family planning (%),18.3,16.4
30,Current users ever told about side effects of current method (%),80.4,43.8
31,Mothers who had an antenatal check-up in the first trimester (%),67.0,56.3
32,Mothers who had at least 4 antenatal care visits (%),60.3,40.4
33,Mothers whose last birth was protected against neonatal tetanus (%),94.8,90.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),64.8,19.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),39.5,9.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.3,93.6
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),84.5,56.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,650","2,061"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,2.8
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),84.0,na
41,Institutional births (%),97.1,88.8
42,Institutional births in public facility (%),83.0,74.3
43,Home births that were conducted by skilled health personnel (%),0.9,1.8
44,Births attended by skilled health personnel (%),90.3,86.6
45,Births delivered by caesarean section (%),14.8,9.4
46,Births in a private health facility that were delivered by caesarean section (%),(53.3),41.3
47,Births in a public health facility that were delivered by caesarean section (%),8.8,4.6
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),93.7,56.8
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),96.4,85.6
50,Children age 12-23 months who have received BCG (%),100.0,91.9
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),93.7,64.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),97.1,70.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.6,88.3
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),47.8,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),74.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),91.7,54.9
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.5,77.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.8,94.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.2,5.1
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.4,8.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,56.9
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,23.6
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,70.7
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.7,2.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),70.7,76.3
66,Children under age 3 years breastfed within one hour of birth (%),39.3,19.0
67,Children under age 6 months exclusively breastfed (%),*,57.6
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(39.4)
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),13.7,8.0
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(6.3)
71,Total children age 6-23 months receiving an adequate diet (%),11.2,7.7
72,Children under 5 years who are stunted (height-for-age) (%),34.7,35.8
73,Children under 5 years who are wasted (weight-for-height) (%),29.8,19.2
74,Children under 5 years who are severely wasted (weight-for-height) (%),12.6,6.9
75,Children under 5 years who are underweight (weight-for-age) (%),36.2,31.3
76,Children under 5 years who are overweight (weight-for-height) (%),2.8,2.9
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),21.1,26.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.2,17.5
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),23.8,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),81.6,69.1
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.8,47.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(47.0),52.2
83,All women age 15-49 years who are anaemic (%),54.5,47.4
84,All women age 15-19 years who are anaemic (%),62.9,46.9
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.3,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),2.8,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.2,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),6.0,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),4.0,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.8,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.1,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),23.3,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.3,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.1,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),25.0,na
97,Ever undergone a screening test for cervical cancer (%),0.7,na
98,Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.4,na
100,Women age 15 years and above who use any kind of tobacco (%),4.7,na
101,Men age 15 years and above who use any kind of tobacco (%),38.1,na
102,Women age 15 years and above who consume alcohol (%),0.8,na
103,Men age 15 years and above who consume alcohol (%),15.7,na
