,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),68.0,61.6
2,Population below age 15 years (%),26.1,31.5
3,"Sex ratio of the total population (females per 1,000 males)","1,026","1,006"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",906,"1,035"
5,Children under age 5 years whose birth was registered with the civil authority (%),97.0,82.8
6,Deaths in the last 3 years registered with the civil authority (%),66.0,na
7,Population living in households with electricity (%),98.2,80.6
8,Population living in households with an improved drinking-water source (%),79.5,68.8
9,Population living in households that use an improved sanitation facility(%),53.7,20.1
10,Households using clean fuel for cooking (%),26.9,12.5
11,Households using iodized salt (%),92.2,89.1
12,Households with any usual member covered under a health insurance/financing scheme (%),19.9,23.5
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.8,na
15,Women who are literate (%),63.0,na
16,Women with 10 or more years of schooling (%),26.4,16.0
18,Women age 20-24 years married before age 18 years (%),21.2,37.0
19,Births in the 5 years preceding the survey that are third or higher order (%),4.3,3.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.7,8.2
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),48.9,14.5
23,Any method (%),71.2,52.3
24,Any modern method (%),60.5,48.3
25,Female sterilization (%),49.6,44.4
26,Male sterilization (%),1.4,0.7
27,IUD/PPIUD (%),0.8,0.4
28,Pill (%),0.9,0.5
29,Condom (%),5.3,2.2
30,Injectables (%),0.1,0.0
32,Total unmet need(%),5.7,11.7
33,Unmet need for spacing (%),2.6,6.1
35,Health worker ever talked to female non-users about family planning (%),40.5,17.8
36,Current users ever told about side effects of current method (%),82.9,17.2
