,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),78.9,72.9
1,Population below age 15 years (%),19.6,23.3
2,"Sex ratio of the total population (females per 1,000 males)",974,961
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,025",996
4,Children under age 5 years whose birth was registered with the civil authority (%),98.1,98.6
5,Deaths in the last 3 years registered with the civil authority (%),92.4,na
6,Population living in households with electricity (%),98.9,92.2
7,Population living in households with an improved drinking-water source (%),96.5,86.0
8,Population living in households that use an improved sanitation facility(%),77.3,53.8
9,Households using clean fuel for cooking (%),85.1,47.2
10,Households using iodized salt (%),97.4,99.2
11,Households with any usual member covered under a health insurance/financing scheme (%),28.9,11.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(17.4),na
13,Women who are literate (%),87.8,na
14,Women with 10 or more years of schooling (%),57.5,43.1
15,Women age 20-24 years married before age 18 years (%),9.0,19.6
16,Births in the 5 years preceding the survey that are third or higher order (%),1.7,1.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1,5.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.1,54.0
19,Any method (%),80.1,73.2
20,Any modern method (%),78.1,70.6
21,Female sterilization (%),60.1,62.3
22,Male sterilization (%),1.6,1.9
23,IUD/PPIUD (%),3.1,0.6
24,Pill (%),1.0,0.5
25,Condom (%),11.9,5.3
26,Injectables (%),0.3,0.0
27,Total unmet need(%),4.5,7.7
28,Unmet need for spacing (%),2.7,4.8
29,Health worker ever talked to female non-users about family planning (%),39.1,26.6
30,Current users ever told about side effects of current method (%),57.4,22.8
31,Mothers who had an antenatal check-up in the first trimester (%),76.6,67.3
32,Mothers who had at least 4 antenatal care visits (%),68.5,79.9
33,Mothers whose last birth was protected against neonatal tetanus (%),94.0,93.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),69.2,47.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),53.3,24.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,97.3
37,days of delivery (%),92.3,80.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,109","1,803"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),97.0,na
41,Institutional births (%),99.6,91.7
42,Institutional births in public facility (%),85.2,66.5
43,Home births that were conducted by skilled health personnel (%),0.4,2.2
44,Births attended by skilled health personnel (%),96.5,93.1
45,Births delivered by caesarean section (%),20.8,14.5
46,Births in a private health facility that were delivered by caesarean section (%),(41.7),36.1
47,Births in a public health facility that were delivered by caesarean section (%),17.3,8.1
48,mother's recall (%),(95.0),(60.5)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.6),(82.8)
50,Children age 12-23 months who have received BCG (%),(100.0),(96.8)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(97.5),(72.6)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(100.0),(88.6)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.5),(93.0)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(46.6),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(5.2),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(93.3),(74.1)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.8,73.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(87.2),(87.7)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(9.7),(12.4)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7,3.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.3,1.2
65,health provider (%),(72.7),*
66,Children under age 3 years breastfed within one hour of birth (%),65.5,67.2
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),(8.8),4.0
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),6.8,3.6
