Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),69.4,67.0
Population below age 15 years (%),24.8,28.2
"Sex ratio of the total population (females per 1,000 males)",962,"1,002"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",838,992
Children under age 5 years whose birth was registered with the civil authority (%),96.0,95.4
Deaths in the last 3 years registered with the civil authority (%),79.3,na
Population living in households with electricity (%),98.1,85.8
Population living in households with an improved drinking-water source (%),92.4,87.3
Population living in households that use an improved sanitation facility(%),69.0,42.8
Households using clean fuel for cooking (%),53.1,25.6
Households using iodized salt (%),99.0,98.9
Households with any usual member covered under a health insurance/financing scheme (%),14.7,14.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.4,na
Women who are literate (%),76.5,na
Women with 10 or more years of schooling (%),33.2,25.1
Women age 20-24 years married before age 18 years (%),37.1,41.2
Births in the 5 years preceding the survey that are third or higher order (%),1.4,3.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.4,15.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.2,32.8
Any method (%),73.1,66.9
Any modern method (%),72.9,66.0
Female sterilization (%),58.7,57.3
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),1.3,0.9
Pill (%),3.5,1.3
Condom (%),8.8,6.5
Injectables (%),0.5,0.0
Total unmet need(%),10.4,7.7
Unmet need for spacing (%),5.6,3.9
Health worker ever talked to female non-users about family planning (%),11.3,13.8
Current users ever told about side effects of current method (%),41.5,17.0
Mothers who had an antenatal check-up in the first trimester (%),82.5,64.6
Mothers who had at least 4 antenatal care visits (%),66.6,63.7
Mothers whose last birth was protected against neonatal tetanus (%),88.5,94.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),23.2,42.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),10.9,27.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.8,93.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.4,64.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,114","16,010"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(3.3)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,na
Institutional births (%),94.0,84.6
Institutional births in public facility (%),68.6,45.2
Home births that were conducted by skilled health personnel (%),1.6,6.8
Births attended by skilled health personnel (%),95.3,83.5
Births delivered by caesarean section (%),16.4,11.5
Births in a private health facility that were delivered by caesarean section (%),29.3,18.5
Births in a public health facility that were delivered by caesarean section (%),13.0,9.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),76.9,65.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(79.4),(71.4)
Children age 12-23 months who have received BCG (%),98.3,96.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),78.6,80.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.7,75.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.0,87.2
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),41.5,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.3,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.5,72.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.1,71.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.8,90.8
Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.2,9.2
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.1,9.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(37.5),(46.2)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(22.1),(6.5)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(71.1),(74.6)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.2,2.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.5,(82.9)
Children under age 3 years breastfed within one hour of birth (%),55.4,58.3
Children under age 6 months exclusively breastfed (%),(55.8),(81.8)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),11.8,7.9
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),11.5,8.6
Children under 5 years who are stunted (height-for-age) (%),37.4,39.6
Children under 5 years who are wasted (weight-for-height) (%),25.8,24.2
Children under 5 years who are severely wasted (weight-for-height) (%),10.5,10.2
Children under 5 years who are underweight (weight-for-age) (%),38.9,36.9
Children under 5 years who are overweight (weight-for-height) (%),1.0,2.1
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),24.9,29.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),16.6,13.9
Women who have high risk waist-to-hip ratio (≥0.85) (%),24.7,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),72.5,51.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),51.2,41.2
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(53.3),(55.5)
All women age 15-49 years who are anaemic (%),51.3,42.0
All women age 15-19 years who are anaemic (%),60.5,39.0
Women - Blood sugar level - high (141-160 mg/dl)(%),5.3,na
Women - Blood sugar level - very high (>160 mg/dl)(%),4.5,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.5,na
Men - Blood sugar level - high (141-160 mg/dl)(%),5.5,na
Men - Blood sugar level - very high (>160 mg/dl) (%),4.6,na
