Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),67.6,65.2
Population below age 15 years (%),26.9,29.0
"Sex ratio of the total population (females per 1,000 males)",948,950
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",867,880
Children under age 5 years whose birth was registered with the civil authority (%),94.8,95.4
Deaths in the last 3 years registered with the civil authority (%),75.0,na
Population living in households with electricity (%),95.7,87.3
Population living in households with an improved drinking-water source (%),82.8,76.9
Population living in households that use an improved sanitation facility(%),63.6,37.2
Households using clean fuel for cooking (%),56.4,20.7
Households using iodized salt (%),97.6,99.8
Households with any usual member covered under a health insurance/financing scheme (%),9.7,11.2
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),33.8,na
Women who are literate (%),71.8,na
Women with 10 or more years of schooling (%),34.3,24.7
Women age 20-24 years married before age 18 years (%),35.0,49.9
Births in the 5 years preceding the survey that are third or higher order (%),2.2,2.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.1,21.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),71.8,37.4
Any method (%),49.7,65.0
Any modern method (%),48.9,64.0
Female sterilization (%),34.7,50.7
Male sterilization (%),0.1,0.0
IUD/PPIUD (%),1.6,1.3
Pill (%),2.6,2.3
Condom (%),9.6,9.6
Injectables (%),0.1,0.0
Total unmet need(%),13.1,8.6
Unmet need for spacing (%),3.9,3.8
Health worker ever talked to female non-users about family planning (%),15.7,17.1
Current users ever told about side effects of current method (%),43.3,20.1
Mothers who had an antenatal check-up in the first trimester (%),56.0,63.9
Mothers who had at least 4 antenatal care visits (%),58.4,64.2
Mothers whose last birth was protected against neonatal tetanus (%),78.3,90.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),27.2,45.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.8,29.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.1,95.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.0,66.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,178","24,453"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.9,na
Institutional births (%),92.8,92.0
Institutional births in public facility (%),57.3,61.5
Home births that were conducted by skilled health personnel (%),3.4,4.0
Births attended by skilled health personnel (%),86.5,91.4
Births delivered by caesarean section (%),15.2,10.6
Births in a private health facility that were delivered by caesarean section (%),30.4,20.0
Births in a public health facility that were delivered by caesarean section (%),7.7,7.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),54.3,70.0
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(68.9),(72.6)
Children age 12-23 months who have received BCG (%),92.6,95.1
Children age 12-23 months who have received 3 doses of polio vaccine (%),66.4,80.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),64.3,81.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),75.9,89.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.9,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),15.3,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),50.8,74.1
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.1,67.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.1,100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.6,0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),19.0,8.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),48.1,(55.1)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),14.8,(7.8)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.4,(61.8)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.0,3.5
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),68.7,(65.2)
Children under age 3 years breastfed within one hour of birth (%),66.1,61.5
Children under age 6 months exclusively breastfed (%),*,(69.8)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),4.7,1.2
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),5.2,5.2
Children under 5 years who are stunted (height-for-age) (%),38.0,44.1
Children under 5 years who are wasted (weight-for-height) (%),22.2,22.4
Children under 5 years who are severely wasted (weight-for-height) (%),8.2,9.5
Children under 5 years who are underweight (weight-for-age) (%),39.0,43.6
Children under 5 years who are overweight (weight-for-height) (%),1.3,2.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),23.3,29.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),20.6,15.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),21.4,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),68.3,49.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.7,44.2
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(47.3),(37.7)
All women age 15-49 years who are anaemic (%),58.2,43.9
All women age 15-19 years who are anaemic (%),54.6,45.4
Women - Blood sugar level - high (141-160 mg/dl)(%),5.5,na
Women - Blood sugar level - very high (>160 mg/dl)(%),4.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.0,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.4,na
Men - Blood sugar level - very high (>160 mg/dl) (%),4.8,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.0,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.5,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.2,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.8,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.9,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.8,na
  Ever undergone a screening test for cervical cancer (%),2.4,na
  Ever undergone a breast examination for breast cancer (%),1.4,na
Ever undergone an oral cavity examination for oral cancer (%),1.9,na
Women age 15 years and above who use any kind of tobacco (%),7.0,na
Men age 15 years and above who use any kind of tobacco (%),32.5,na
Women age 15 years and above who consume alcohol (%),0.2,na
Men age 15 years and above who consume alcohol (%),11.3,na
