,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),92.5,87.2
1,Population below age 15 years (%),16.2,19.6
2,"Sex ratio of the total population (females per 1,000 males)",939,906
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,019","1,033"
4,Children under age 5 years whose birth was registered with the civil authority (%),98.6,95.0
5,Deaths in the last 3 years registered with the civil authority (%),100.0,na
6,Population living in households with electricity (%),99.6,99.3
7,Population living in households with an improved drinking-water source (%),100.0,99.9
8,Population living in households that use an improved sanitation facility(%),58.6,40.2
9,Households using clean fuel for cooking (%),98.3,89.2
10,Households using iodized salt (%),98.3,98.1
11,Households with any usual member covered under a health insurance/financing scheme (%),30.7,14.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(38.3),na
13,Women who are literate (%),94.3,na
14,Women with 10 or more years of schooling (%),71.1,52.9
15,Women age 20-24 years married before age 18 years (%),4.5,10.3
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.0,0.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),99.1,83.8
19,Any method (%),74.3,59.6
20,Any modern method (%),71.7,53.1
21,Female sterilization (%),47.0,36.1
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),4.1,2.0
24,Pill (%),1.9,3.1
25,Condom (%),18.1,11.7
26,Injectables (%),0.2,0.2
27,Total unmet need(%),4.9,13.7
28,Unmet need for spacing (%),1.9,3.1
29,Health worker ever talked to female non-users about family planning (%),19.2,27.7
30,Current users ever told about side effects of current method (%),(77.8),(52.0)
31,Mothers who had an antenatal check-up in the first trimester (%),86.2,60.6
32,Mothers who had at least 4 antenatal care visits (%),87.1,80.7
33,Mothers whose last birth was protected against neonatal tetanus (%),95.4,91.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.4,52.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),49.5,34.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.1,91.4
37,days of delivery (%),90.6,84.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,233","8,300"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),95.9,na
41,Institutional births (%),99.5,97.4
42,Institutional births in public facility (%),55.5,56.3
43,Home births that were conducted by skilled health personnel (%),0.0,0.0
44,Births attended by skilled health personnel (%),98.3,93.4
45,Births delivered by caesarean section (%),30.4,28.5
46,Births in a private health facility that were delivered by caesarean section (%),39.1,37.6
47,Births in a public health facility that were delivered by caesarean section (%),23.8,23.2
48,mother's recall (%),*,(45.6)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*,*
50,Children age 12-23 months who have received BCG (%),*,(87.6)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),*,(55.6)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),*,(50.6)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),*,(73.9)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),*,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),*,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),*,(45.9)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),77.8,85.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),*,*
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),*,*
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.5,6.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.7,1.8
65,health provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),51.0,49.8
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),(12.8),(3.5)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),(14.1),(6.4)
72,Children under 5 years who are stunted (height-for-age) (%),26.6,25.5
73,Children under 5 years who are wasted (weight-for-height) (%),25.3,25.8
74,Children under 5 years who are severely wasted (weight-for-height) (%),9.1,7.0
75,Children under 5 years who are underweight (weight-for-age) (%),29.6,22.7
76,Children under 5 years who are overweight (weight-for-height) (%),6.1,4.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.0,17.8
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),25.0,34.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),54.4,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),72.8,65.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),46.9,49.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(19.9),*
83,All women age 15-49 years who are anaemic (%),45.9,49.4
84,All women age 15-19 years who are anaemic (%),54.7,49.6
85,Blood sugar level - high (141-160 mg/dl)(%),9.2,na
86,Blood sugar level - very high (>160 mg/dl)(%),6.3,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.5,na
88,Blood sugar level - high (141-160 mg/dl)(%),11.4,na
89,Blood sugar level - very high (>160 mg/dl) (%),6.1,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.2,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.1,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.1,na
93,control blood pressure (%),21.0,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.9,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3,na
96,control blood pressure (%),23.3,na
97,  Ever undergone a screening test for cervical cancer (%),1.0,na
98,  Ever undergone a breast examination for breast cancer (%),0.0,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),5.3,na
101,Men age 15 years and above who use any kind of tobacco (%),20.3,na
102,Women age 15 years and above who consume alcohol (%),1.1,na
103,Men age 15 years and above who consume alcohol (%),16.0,na
