,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),86.5,86.0
1,Population below age 15 years (%),20.9,20.9
2,"Sex ratio of the total population (females per 1,000 males)",971,"1,004"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",926,957
4,Children under age 5 years whose birth was registered with the civil authority (%),97.7,98.4
5,Deaths in the last 3 years registered with the civil authority (%),92.4,na
6,Population living in households with electricity (%),99.5,97.9
7,Population living in households with an improved drinking-water source (%),99.5,97.4
8,Population living in households that use an improved sanitation facility(%),88.9,72.2
9,Households using clean fuel for cooking (%),96.0,75.7
10,Households using iodized salt (%),97.6,94.4
11,Households with any usual member covered under a health insurance/financing scheme (%),25.6,18.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(33.1),na
13,Women who are literate (%),94.6,na
14,Women with 10 or more years of schooling (%),67.6,53.1
15,Women age 20-24 years married before age 18 years (%),7.1,7.0
16,Births in the 5 years preceding the survey that are third or higher order (%),0.9,0.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.9,1.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.5,72.6
19,Any method (%),84.1,69.1
20,Any modern method (%),81.2,67.9
21,Female sterilization (%),61.0,52.4
22,Male sterilization (%),0.6,0.1
23,IUD/PPIUD (%),3.5,0.9
24,Pill (%),1.7,1.4
25,Condom (%),14.0,13.0
26,Injectables (%),0.4,0.0
27,Total unmet need(%),4.2,8.7
28,Unmet need for spacing (%),2.6,4.4
29,Health worker ever talked to female non-users about family planning (%),39.5,15.4
30,Current users ever told about side effects of current method (%),62.4,25.2
31,Mothers who had an antenatal check-up in the first trimester (%),78.1,88.0
32,Mothers who had at least 4 antenatal care visits (%),71.4,81.1
33,Mothers whose last birth was protected against neonatal tetanus (%),92.8,97.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),57.1,52.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),42.0,36.1
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.6,96.1
37,days of delivery (%),91.4,84.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,249","1,911"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),90.8,na
41,Institutional births (%),100.0,97.2
42,Institutional births in public facility (%),61.9,70.6
43,Home births that were conducted by skilled health personnel (%),0.0,0.9
44,Births attended by skilled health personnel (%),96.6,98.1
45,Births delivered by caesarean section (%),33.7,39.3
46,Births in a private health facility that were delivered by caesarean section (%),41.4,59.4
47,Births in a public health facility that were delivered by caesarean section (%),28.9,33.2
48,mother's recall (%),89.4,(76.5)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),87.4,(87.3)
50,Children age 12-23 months who have received BCG (%),100.0,(96.1)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),94.7,(84.3)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.1,(89.5)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.5,(92.1)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),39.0,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),9.6,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.3,(88.4)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),95.6,79.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),79.3,(84.3)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),20.7,(15.8)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.0,5.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.9,1.2
65,health provider (%),(65.0),(83.7)
66,Children under age 3 years breastfed within one hour of birth (%),68.4,59.6
67,Children under age 6 months exclusively breastfed (%),*,(88.0)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),4.6,1.3
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),4.6,5.9
72,Children under 5 years who are stunted (height-for-age) (%),27.6,33.9
73,Children under 5 years who are wasted (weight-for-height) (%),34.0,25.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),20.0,12.1
75,Children under 5 years who are underweight (weight-for-age) (%),33.9,33.6
76,Children under 5 years who are overweight (weight-for-height) (%),10.1,1.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.1,23.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),13.4,23.3
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),46.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.5,44.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.0,46.7
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(44.4)
83,All women age 15-49 years who are anaemic (%),53.6,46.6
84,All women age 15-19 years who are anaemic (%),57.9,51.2
85,Blood sugar level - high (141-160 mg/dl)(%),6.0,na
86,Blood sugar level - very high (>160 mg/dl)(%),3.9,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.7,na
88,Blood sugar level - high (141-160 mg/dl)(%),7.0,na
89,Blood sugar level - very high (>160 mg/dl) (%),4.3,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.8,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.2,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.6,na
93,control blood pressure (%),21.3,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.2,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.4,na
96,control blood pressure (%),18.3,na
97,  Ever undergone a screening test for cervical cancer (%),0.8,na
98,  Ever undergone a breast examination for breast cancer (%),0.3,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.7,na
100,Women age 15 years and above who use any kind of tobacco (%),5.0,na
101,Men age 15 years and above who use any kind of tobacco (%),40.2,na
102,Women age 15 years and above who consume alcohol (%),0.4,na
103,Men age 15 years and above who consume alcohol (%),17.8,na
