,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),78.2,80.4
1,Population below age 15 years (%),25.5,28.0
2,"Sex ratio of the total population (females per 1,000 males)",913,"1,000"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",816,867
4,Children under age 5 years whose birth was registered with the civil authority (%),93.6,94.8
5,Deaths in the last 3 years registered with the civil authority (%),94.2,na
6,Population living in households with electricity (%),95.3,93.0
7,Population living in households with an improved drinking-water source (%),86.3,91.5
8,Population living in households that use an improved sanitation facility(%),68.3,53.0
9,Households using clean fuel for cooking (%),72.5,65.7
10,Households using iodized salt (%),91.6,97.2
11,Households with any usual member covered under a health insurance/financing scheme (%),14.7,12.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.7,na
13,Women who are literate (%),80.0,na
14,Women with 10 or more years of schooling (%),42.6,39.9
15,Women age 20-24 years married before age 18 years (%),29.6,32.0
16,Births in the 5 years preceding the survey that are third or higher order (%),2.4,2.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.0,8.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.3,67.8
19,Any method (%),55.0,67.5
20,Any modern method (%),54.0,66.0
21,Female sterilization (%),41.3,51.6
22,Male sterilization (%),0.3,0.0
23,IUD/PPIUD (%),1.5,2.6
24,Pill (%),1.8,3.7
25,Condom (%),8.8,7.3
26,Injectables (%),0.2,0.8
27,Total unmet need(%),12.0,10.2
28,Unmet need for spacing (%),4.6,3.5
29,Health worker ever talked to female non-users about family planning (%),10.7,13.4
30,Current users ever told about side effects of current method (%),55.7,18.7
31,Mothers who had an antenatal check-up in the first trimester (%),66.9,76.0
32,Mothers who had at least 4 antenatal care visits (%),66.4,58.6
33,Mothers whose last birth was protected against neonatal tetanus (%),81.3,90.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),43.4,41.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),23.0,32.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.0,93.6
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.5,75.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,698","1,180"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(2.4)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.4,na
41,Institutional births (%),90.5,85.3
42,Institutional births in public facility (%),52.0,50.7
43,Home births that were conducted by skilled health personnel (%),3.3,3.5
44,Births attended by skilled health personnel (%),89.9,88.1
45,Births delivered by caesarean section (%),21.2,16.5
46,Births in a private health facility that were delivered by caesarean section (%),38.6,27.9
47,Births in a public health facility that were delivered by caesarean section (%),12.3,13.6
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),70.4,62.3
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(82.8),(88.6)
50,Children age 12-23 months who have received BCG (%),88.6,91.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),74.3,67.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.3,82.7
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.2,86.0
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.3,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.1,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),67.4,61.0
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.7,68.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(92.2),85.7
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(7.8),13.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),19.2,8.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),62.2,(63.6)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),13.4,(8.1)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),75.3,(74.8)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.7,3.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.3,85.0
66,Children under age 3 years breastfed within one hour of birth (%),46.5,64.5
67,Children under age 6 months exclusively breastfed (%),(68.0),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),12.1,0.0
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),13.5,1.0
72,Children under 5 years who are stunted (height-for-age) (%),42.2,43.5
73,Children under 5 years who are wasted (weight-for-height) (%),27.2,32.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),11.4,13.5
75,Children under 5 years who are underweight (weight-for-age) (%),44.8,42.9
76,Children under 5 years who are overweight (weight-for-height) (%),2.2,0.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),25.6,25.8
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),21.7,22.9
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),37.6,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.3,52.9
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),55.4,54.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(73.4),(57.3)
83,All women age 15-49 years who are anaemic (%),56.2,54.7
84,All women age 15-19 years who are anaemic (%),56.2,49.8
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.4,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.8,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.3,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.2,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),5.6,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.0,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.3,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.4,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.5,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.6,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.2,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.1,na
97,  Ever undergone a screening test for cervical cancer (%),0.4,na
98,  Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
100,Women age 15 years and above who use any kind of tobacco (%),15.4,na
101,Men age 15 years and above who use any kind of tobacco (%),35.0,na
102,Women age 15 years and above who consume alcohol (%),0.2,na
103,Men age 15 years and above who consume alcohol (%),12.2,na
