,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),84.8,82.3
1,Population below age 15 years (%),22.8,21.5
2,"Sex ratio of the total population (females per 1,000 males)",918,924
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",873,927
4,Children under age 5 years whose birth was registered with the civil authority (%),96.5,95.9
5,Deaths in the last 3 years registered with the civil authority (%),93.0,na
6,Population living in households with electricity (%),99.4,95.9
7,Population living in households with an improved drinking-water source (%),96.9,97.2
8,Population living in households that use an improved sanitation facility(%),79.6,63.4
9,Households using clean fuel for cooking (%),89.5,81.4
10,Households using iodized salt (%),97.0,95.7
11,Households with any usual member covered under a health insurance/financing scheme (%),14.4,21.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),45.8,na
13,Women who are literate (%),89.0,na
14,Women with 10 or more years of schooling (%),61.2,52.8
15,Women age 20-24 years married before age 18 years (%),24.0,24.5
16,Births in the 5 years preceding the survey that are third or higher order (%),0.7,1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.3,5.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.6,77.8
19,Any method (%),57.8,70.6
20,Any modern method (%),55.9,69.8
21,Female sterilization (%),43.3,55.5
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),2.3,1.7
24,Pill (%),2.3,2.9
25,Condom (%),7.6,8.4
26,Injectables (%),0.0,0.9
27,Total unmet need(%),13.7,8.5
28,Unmet need for spacing (%),5.2,5.1
29,Health worker ever talked to female non-users about family planning (%),23.5,14.9
30,Current users ever told about side effects of current method (%),35.7,39.8
31,Mothers who had an antenatal check-up in the first trimester (%),79.6,88.2
32,Mothers who had at least 4 antenatal care visits (%),68.6,84.5
33,Mothers whose last birth was protected against neonatal tetanus (%),90.7,91.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.2,55.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),40.0,46.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.1,92.3
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.2,86.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,677","2,231"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.2,na
41,Institutional births (%),98.0,93.5
42,Institutional births in public facility (%),43.4,37.9
43,Home births that were conducted by skilled health personnel (%),1.5,2.0
44,Births attended by skilled health personnel (%),98.5,95.5
45,Births delivered by caesarean section (%),34.6,31.9
46,Births in a private health facility that were delivered by caesarean section (%),40.9,47.1
47,Births in a public health facility that were delivered by caesarean section (%),28.3,15.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(58.1),(81.0)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(79.2),(95.4)
50,Children age 12-23 months who have received BCG (%),(81.7),(98.1)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(66.2),(86.3)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(68.0),(92.8)
