District,Agency,Households,Women,Men
Ahmednagar,Indian Institute of Health Management Research (IIHMR),883,993,139
Akola,TRIOs Development Support (P) Ltd,926,1098,202
Amravati,TRIOs Development Support (P) Ltd,913,1060,180
Aurangabad,TRIOs Development Support (P) Ltd,875,1011,147
Bhandara,TRIOs Development Support (P) Ltd,918,920,152
Bid,TRIOs Development Support (P) Ltd,877,864,146
Buldana,TRIOs Development Support (P) Ltd,931,1055,189
Chandrapur,TRIOs Development Support (P) Ltd,922,965,175
Dhule,Indian Institute of Health Management Research (IIHMR),838,883,137
Gadchiroli,TRIOs Development Support (P) Ltd,921,915,164
Gondiya,TRIOs Development Support (P) Ltd,915,938,167
Hingoli,TRIOs Development Support (P) Ltd,907,1121,173
Jalgaon,Indian Institute of Health Management Research (IIHMR),842,881,155
Jalna,TRIOs Development Support (P) Ltd,863,937,145
Kolhapur,Indian Institute of Health Management Research (IIHMR),887,986,150
Latur,TRIOs Development Support (P) Ltd,906,1006,160
Mumbai Suburban,Indian Institute of Health Management Research (IIHMR),635,552,64
Mumbai,Indian Institute of Health Management Research (IIHMR),826,779,127
Nagpur,TRIOs Development Support (P) Ltd,917,1063,169
Nanded,TRIOs Development Support (P) Ltd,908,1026,164
Nandurbar,Indian Institute of Health Management Research (IIHMR),897,1040,171
Nashik,Indian Institute of Health Management Research (IIHMR),860,1023,155
Osmanabad,Indian Institute of Health Management Research (IIHMR),919,916,147
Palghar,Indian Institute of Health Management Research (IIHMR),890,941,131
Parbhani,TRIOs Development Support (P) Ltd,860,888,158
Pune,Indian Institute of Health Management Research (IIHMR),786,832,140
Raigarh,Indian Institute of Health Management Research (IIHMR),905,918,172
Ratnagiri,Indian Institute of Health Management Research (IIHMR),869,807,127
Sangli,Indian Institute of Health Management Research (IIHMR),898,966,152
Satara,Indian Institute of Health Management Research (IIHMR),896,978,149
Sindhudurg,Indian Institute of Health Management Research (IIHMR),861,722,115
Solapur,Indian Institute of Health Management Research (IIHMR),912,1003,153
Thane,Indian Institute of Health Management Research (IIHMR),755,756,91
Wardha,TRIOs Development Support (P) Ltd,909,925,158
Washim,TRIOs Development Support (P) Ltd,903,986,196
Yavatmal,TRIOs Development Support (P) Ltd,913,1001,177
