Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),89.0,87.0
Population below age 15 years (%),24.8,26.7
"Sex ratio of the total population (females per 1,000 males)","1,041","1,095"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,039","1,017"
Children under age 5 years whose birth was registered with the civil authority (%),86.8,66.5
Deaths in the last 3 years registered with the civil authority (%),49.6,na
Population living in households with electricity (%),99.4,97.8
Population living in households with an improved drinking-water source (%),89.1,81.7
Population living in households that use an improved sanitation facility(%),58.7,50.1
Households using clean fuel for cooking (%),88.6,63.2
Households using iodized salt (%),99.0,99.5
Households with any usual member covered under a health insurance/financing scheme (%),15.7,3.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),23.4,na
Women who are literate (%),92.5,na
Women with 10 or more years of schooling (%),61.9,59.6
Women age 20-24 years married before age 18 years (%),15.3,9.5
Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.9,4.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.6,80.0
Any method (%),69.9,20.4
Any modern method (%),16.4,10.9
Female sterilization (%),3.5,2.8
Male sterilization (%),0.1,0.2
IUD/PPIUD (%),4.5,3.2
Pill (%),3.0,3.2
Condom (%),5.2,1.4
Injectables (%),0.0,0.1
Total unmet need(%),12.5,33.1
Unmet need for spacing (%),6.4,11.4
Health worker ever talked to female non-users about family planning (%),7.1,6.4
Current users ever told about side effects of current method (%),(35.4),50.9
Mothers who had an antenatal check-up in the first trimester (%),83.2,78.0
Mothers who had at least 4 antenatal care visits (%),93.4,78.8
Mothers whose last birth was protected against neonatal tetanus (%),92.7,89.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.9,54.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.7,29.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),50.0,27.5
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.8,78.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"14,173","11,731"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(1.8)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.7,na
Institutional births (%),95.7,91.4
Institutional births in public facility (%),67.6,62.3
Home births that were conducted by skilled health personnel (%),2.3,3.6
Births attended by skilled health personnel (%),98.0,95.1
Births delivered by caesarean section (%),44.5,40.0
Births in a private health facility that were delivered by caesarean section (%),73.5,64.3
Births in a public health facility that were delivered by caesarean section (%),35.4,34.1
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(74.1),82.8
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(83.6),88.4
Children age 12-23 months who have received BCG (%),(94.7),97.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),(76.0),90.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(94.4),93.7
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(88.5),87.9
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(16.8),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(9.4),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(94.4),81.3
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),54.2,60.5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(90.6),90.1
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(7.6),8.4
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.3,8.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,65.5
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,18.0
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,35.5
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4,2.5
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,40.9
Children under age 3 years breastfed within one hour of birth (%),62.6,59.7
Children under age 6 months exclusively breastfed (%),*,82.7
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(76.1)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),11.4,25.7
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),13.0,26.7
Children under 5 years who are stunted (height-for-age) (%),15.6,21.0
Children under 5 years who are wasted (weight-for-height) (%),9.3,4.7
Children under 5 years who are severely wasted (weight-for-height) (%),3.1,1.3
Children under 5 years who are underweight (weight-for-age) (%),10.2,8.4
Children under 5 years who are overweight (weight-for-height) (%),2.6,3.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),6.3,7.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),36.9,30.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),70.6,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),41.8,29.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),26.4,29.0
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(39.5),32.2
All women age 15-49 years who are anaemic (%),26.8,29.1
All women age 15-19 years who are anaemic (%),25.0,22.0
Women - Blood sugar level - high (141-160 mg/dl)(%),7.7,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.2,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.6,na
Men - Blood sugar level - high (141-160 mg/dl)(%),8.5,na
Men - Blood sugar level - very high (>160 mg/dl) (%),11.8,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),21.8,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.4,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.1,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.5,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),24.5,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.1,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),38.4,na
Ever undergone a screening test for cervical cancer (%),2.5,na
Ever undergone a breast examination for breast cancer (%),2.0,na
Ever undergone an oral cavity examination for oral cancer (%),1.9,na
Women age 15 years and above who use any kind of tobacco (%),38.0,na
Men age 15 years and above who use any kind of tobacco (%),52.3,na
Women age 15 years and above who consume alcohol (%),0.5,na
Men age 15 years and above who consume alcohol (%),39.3,na
