,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),79.6,80.1
1,Population below age 15 years (%),33.0,33.6
2,"Sex ratio of the total population (females per 1,000 males)","1,053",986
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",938,858
4,Children under age 5 years whose birth was registered with the civil authority (%),94.5,49.9
5,Deaths in the last 3 years registered with the civil authority (%),75.4,na
6,Population living in households with electricity (%),98.8,92.8
7,Population living in households with an improved drinking-water source (%),64.4,35.2
8,Population living in households that use an improved sanitation facility(%),84.4,61.0
9,Households using clean fuel for cooking (%),50.0,19.0
10,Households using iodized salt (%),98.8,98.5
11,Households with any usual member covered under a health insurance/financing scheme (%),15.4,0.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),26.3,na
13,Women who are literate (%),81.9,na
14,Women with 10 or more years of schooling (%),39.6,34.2
15,Women age 20-24 years married before age 18 years (%),15.5,20.3
16,Births in the 5 years preceding the survey that are third or higher order (%),2.5,2.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.3,9.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.4,71.7
19,Any method (%),65.2,17.5
20,Any modern method (%),17.5,11.5
21,Female sterilization (%),2.8,2.5
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),4.3,3.7
24,Pill (%),6.1,4.1
25,Condom (%),3.2,1.0
26,Injectables (%),0.8,0.2
27,Total unmet need(%),8.5,30.6
28,Unmet need for spacing (%),4.1,13.7
29,Health worker ever talked to female non-users about family planning (%),6.4,7.2
30,Current users ever told about side effects of current method (%),44.9,(29.9)
31,Mothers who had an antenatal check-up in the first trimester (%),73.9,67.2
32,Mothers who had at least 4 antenatal care visits (%),64.9,39.5
33,Mothers whose last birth was protected against neonatal tetanus (%),85.2,88.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),28.4,13.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),15.6,5.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),77.1,30.4
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),37.0,37.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"12,254","9,764"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),36.0,na
41,Institutional births (%),45.8,38.2
42,Institutional births in public facility (%),36.1,28.4
43,Home births that were conducted by skilled health personnel (%),19.3,14.6
44,Births attended by skilled health personnel (%),65.0,52.6
45,Births delivered by caesarean section (%),8.8,7.0
46,Births in a private health facility that were delivered by caesarean section (%),(50.5),(49.0)
47,Births in a public health facility that were delivered by caesarean section (%),11.0,7.7
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),65.0,58.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),79.9,71.5
50,Children age 12-23 months who have received BCG (%),87.2,90.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),70.9,71.0
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.1,71.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),75.2,69.3
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),12.7,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),14.9,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.2,69.3
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),37.8,25.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.4,98.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6,1.1
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.4,5.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(52.1)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(24.3)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(38.3)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.3,3.0
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(39.6),(40.2)
66,Children under age 3 years breastfed within one hour of birth (%),57.6,61.4
67,Children under age 6 months exclusively breastfed (%),(63.8),73.8
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(69.3),(80.6)
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),21.7,15.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),21.9,14.2
72,Children under 5 years who are stunted (height-for-age) (%),27.3,35.0
73,Children under 5 years who are wasted (weight-for-height) (%),10.7,8.2
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.5,2.5
75,Children under 5 years who are underweight (weight-for-age) (%),12.9,14.7
76,Children under 5 years who are overweight (weight-for-height) (%),6.7,6.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),5.3,8.9
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),24.9,19.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),69.2,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),48.5,22.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),27.9,25.3
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(18.3),22.4
83,All women age 15-49 years who are anaemic (%),27.4,25.1
84,All women age 15-19 years who are anaemic (%),23.8,22.6
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.6,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.8,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.8,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.9,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),4.3,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.9,na
