,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),90.9
1,Population below age 15 years (%),31.1
2,"Sex ratio of the total population (females per 1,000 males)","1,026"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,427"
4,Children under age 5 years whose birth was registered with the civil authority (%),81.4
5,Deaths in the last 3 years registered with the civil authority (%),45.9
6,Population living in households with electricity (%),97.4
7,Population living in households with an improved drinking-water source (%),67.0
8,Population living in households that use an improved sanitation facility(%),83.9
9,Households using clean fuel for cooking (%),29.1
10,Households using iodized salt (%),69.0
11,Households with any usual member covered under a health insurance/financing scheme (%),71.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.2
13,Women who are literate (%),86.7
14,Women with 10 or more years of schooling (%),40.5
15,Women age 20-24 years married before age 18 years (%),13.7
16,Births in the 5 years preceding the survey that are third or higher order (%),1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.7
19,Any method (%),37.0
20,Any modern method (%),35.8
21,Female sterilization (%),4.4
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),4.7
24,Pill (%),18.5
25,Condom (%),4.9
26,Injectables (%),2.2
27,Total unmet need(%),21.0
28,Unmet need for spacing (%),12.4
29,Health worker ever talked to female non-users about family planning (%),22.1
30,Current users ever told about side effects of current method (%),79.2
31,Mothers who had an antenatal check-up in the first trimester (%),59.2
32,Mothers who had at least 4 antenatal care visits (%),25.5
33,Mothers whose last birth was protected against neonatal tetanus (%),74.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),28.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.1
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),59.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,473"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),57.5
41,Institutional births (%),73.8
42,Institutional births in public facility (%),73.5
43,Home births that were conducted by skilled health personnel (%),7.5
44,Births attended by skilled health personnel (%),80.8
45,Births delivered by caesarean section (%),4.0
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),5.0
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),72.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.5)
50,Children age 12-23 months who have received BCG (%),81.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.6
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.3
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.3
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),19.3
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),12.5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),56.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(93.8)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(79.1)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(63.3)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(83.3)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),64.1
