District,Agency,Households,Women,Men
East Garo Hills,IQVIA Consulting and Information Services India Pvt. Ltd,919,1280,198
East Jaintia Hills,IQVIA Consulting and Information Services India Pvt. Ltd,924,1311,200
East Khasi Hills,IQVIA Consulting and Information Services India Pvt. Ltd,918,1066,131
North Garo Hills,IQVIA Consulting and Information Services India Pvt. Ltd,923,1283,180
Ribhoi,IQVIA Consulting and Information Services India Pvt. Ltd,927,1238,145
South Garo Hills,IQVIA Consulting and Information Services India Pvt. Ltd,921,1088,143
South West Garo Hills,IQVIA Consulting and Information Services India Pvt. Ltd,921,1161,140
South West Khasi Hills,IQVIA Consulting and Information Services India Pvt. Ltd,924,1203,196
West Garo Hills,IQVIA Consulting and Information Services India Pvt. Ltd,923,1090,158
West Jaintia Hills,IQVIA Consulting and Information Services India Pvt. Ltd,924,1172,155
West Khasi Hills,IQVIA Consulting and Information Services India Pvt. Ltd,924,1197,178
