,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),79.9,71.0
1,Population below age 15 years (%),32.8,34.2
2,"Sex ratio of the total population (females per 1,000 males)","1,051",996
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,131","1,079"
4,Children under age 5 years whose birth was registered with the civil authority (%),99.3,99.2
5,Deaths in the last 3 years registered with the civil authority (%),85.4,na
6,Population living in households with electricity (%),89.0,75.3
7,Population living in households with an improved drinking-water source (%),82.2,82.2
8,Population living in households that use an improved sanitation facility(%),90.3,66.8
9,Households using clean fuel for cooking (%),56.3,38.7
10,Households using iodized salt (%),97.0,99.1
11,Households with any usual member covered under a health insurance/financing scheme (%),31.3,26.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.6,na
13,Women who are literate (%),76.0,na
14,Women with 10 or more years of schooling (%),32.2,26.3
15,Women age 20-24 years married before age 18 years (%),16.0,15.0
16,Births in the 5 years preceding the survey that are third or higher order (%),2.6,3.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.2,6.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),71.0,86.4
19,Any method (%),29.7,27.1
20,Any modern method (%),29.1,27.1
21,Female sterilization (%),12.2,16.0
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.6,1.5
24,Pill (%),12.1,8.4
25,Condom (%),2.8,1.0
26,Injectables (%),0.3,0.2
27,Total unmet need(%),17.3,18.1
28,Unmet need for spacing (%),13.0,13.3
29,Health worker ever talked to female non-users about family planning (%),11.3,6.1
30,Current users ever told about side effects of current method (%),59.1,75.0
31,Mothers who had an antenatal check-up in the first trimester (%),51.5,50.5
32,Mothers who had at least 4 antenatal care visits (%),33.0,38.3
33,Mothers whose last birth was protected against neonatal tetanus (%),72.3,57.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.7,42.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.4,1.1
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.8,92.2
37,days of delivery (%),46.2,39.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"7,318","3,648"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.7,0.0
40,days of delivery (%),28.4,na
41,Institutional births (%),53.7,45.9
42,Institutional births in public facility (%),48.4,37.4
43,Home births that were conducted by skilled health personnel (%),9.3,4.1
44,Births attended by skilled health personnel (%),59.9,49.7
45,Births delivered by caesarean section (%),3.9,3.2
46,Births in a private health facility that were delivered by caesarean section (%),*,(17.9)
47,Births in a public health facility that were delivered by caesarean section (%),5.4,4.4
48,mother's recall (%),70.2,42.2
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),91.7,(71.8)
50,Children age 12-23 months who have received BCG (%),75.6,70.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),75.3,53.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),74.1,53.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.8,48.9
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),23.2,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),72.6,49.3
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),55.1,43.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.9,92.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,3.8
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.7,5.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.5,0.5
65,provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),60.9,76.4
67,Children under age 6 months exclusively breastfed (%),(64.4),(42.6)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),7.4,7.3
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),9.2,7.5
72,Children under 5 years who are stunted (height-for-age) (%),32.7,35.3
73,Children under 5 years who are wasted (weight-for-height) (%),16.2,12.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),11.4,5.9
75,Children under 5 years who are underweight (weight-for-age) (%),16.9,21.3
76,Children under 5 years who are overweight (weight-for-height) (%),9.1,2.5
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),7.1,10.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),14.1,10.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),44.4,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),55.3,33.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),48.6,35.8
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(46.5),(35.6)
83,All women age 15-49 years who are anaemic (%),48.5,35.8
84,All women age 15-19 years who are anaemic (%),45.5,31.1
85,Blood sugar level - high (141-160 mg/dl)(%),6.6,na
86,Blood sugar level - very high (>160 mg/dl)(%),4.3,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.4,na
88,Blood sugar level - high (141-160 mg/dl)(%),9.0,na
89,Blood sugar level - very high (>160 mg/dl) (%),5.5,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.4,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.2,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.2,na
93,blood pressure (%),13.0,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.9,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.4,na
96,blood pressure (%),20.3,na
97,Ever undergone a screening test for cervical cancer (%),2.7,na
98,Ever undergone a breast examination for breast cancer (%),1.5,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.5,na
100,Women age 15 years and above who use any kind of tobacco (%),65.4,na
101,Men age 15 years and above who use any kind of tobacco (%),77.2,na
102,Women age 15 years and above who consume alcohol (%),0.9,na
103,Men age 15 years and above who consume alcohol (%),27.2,na
