,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),84.4
1,Population below age 15 years (%),23.9
2,"Sex ratio of the total population (females per 1,000 males)",901
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",994
4,Children under age 5 years whose birth was registered with the civil authority (%),93.0
5,Deaths in the last 3 years registered with the civil authority (%),87.1
6,Population living in households with electricity (%),99.8
7,Population living in households with an improved drinking-water source (%),99.7
8,Population living in households that use an improved sanitation facility(%),77.0
9,Households using clean fuel for cooking (%),98.8
10,Households using iodized salt (%),96.8
11,Households with any usual member covered under a health insurance/financing scheme (%),22.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),24.8
13,Women who are literate (%),83.5
14,Women with 10 or more years of schooling (%),57.1
15,Women age 20-24 years married before age 18 years (%),11.2
16,Births in the 5 years preceding the survey that are third or higher order (%),0.8
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.5
19,Any method (%),68.5
20,Any modern method (%),49.8
21,Female sterilization (%),17.6
22,Male sterilization (%),0.6
23,IUD/PPIUD (%),5.7
24,Pill (%),2.1
25,Condom (%),22.9
26,Injectables (%),0.5
27,Total unmet need(%),9.4
28,Unmet need for spacing (%),3.3
29,Health worker ever talked to female non-users about family planning (%),11.9
30,Current users ever told about side effects of current method (%),59.8
31,Mothers who had an antenatal check-up in the first trimester (%),70.4
32,Mothers who had at least 4 antenatal care visits (%),73.1
33,Mothers whose last birth was protected against neonatal tetanus (%),88.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),62.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.0
37,delivery (%),84.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,313"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),90.1
41,Institutional births (%),92.2
42,Institutional births in public facility (%),69.3
43,Home births that were conducted by skilled health personnel (%),0.0
44,Births attended by skilled health personnel (%),90.9
45,Births delivered by caesarean section (%),25.3
46,Births in a private health facility that were delivered by caesarean section (%),49.4
47,Births in a public health facility that were delivered by caesarean section (%),20.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(82.1)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.1)
50,Children age 12-23 months who have received BCG (%),(94.8)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(84.4)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.7)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.9)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(36.9)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(15.5)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(87.2)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),48.8
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(94.6)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(5.4)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.0
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
