,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Population and Household Profile,Urban  Rural,,Total,Total
1,Female population age 6 years and above who ever attended school (%),83.8,82.6,83.8,80.9
2,Population below age 15 years (%),24.3,25.6,24.3,25.0
3,"Sex ratio of the total population (females per 1,000 males)",914,859,913,854
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",927,792,923,812
5,Children under age 5 years whose birth was registered with the civil authority (%),94.2,99.7,94.4,88.0
6,Deaths in the last 3 years registered with the civil authority (%),89.1,(83.1),89.0,na
7,Population living in households with electricity (%),99.9,99.9,99.9,99.8
8,Population living in households with an improved drinking-water source (%),99.5,98.0,99.4,99.8
9,Population living in households that use an improved sanitation facility(%),81.0,87.3,81.1,75.1
10,Households using clean fuel for cooking (%),99.0,97.6,98.9,97.9
11,Households using iodized salt (%),96.8,98.4,96.8,98.5
12,Households with any usual member covered under a health insurance/financing scheme (%),25.0,27.1,25.0,15.7
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.0,(9.4),15.8,na
14,Women who are literate (%),83.6,87.8,83.7,na
15,Men who are literate (%),90.2,(93.5),90.2,na
16,Women with 10 or more years of schooling (%),59.5,68.7,59.7,54.2
17,Men with 10 or more years of schooling (%),60.7,(70.1),60.9,54.8
18,Women who have ever used the internet (%),63.7,(69.2),63.8,na
19,Men who have ever used the internet (%),85.1,(87.4),85.2,na
20,Women age 20-24 years married before age 18 years (%),9.8,11.4,9.9,14.3
21,Men age 25-29 years married before age 21 years (%),12.1,*,12.0,21.0
22,Total fertility rate (children per woman),1.6,2.5,1.6,1.8
23,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.2,9.7,3.3,2.1
24,Adolescent fertility rate for women age 15-19 years,18,42,19,21
25,Neonatal mortality rate (NNMR),17.0,*,17.5,17.8
26,Infant mortality rate (IMR),24.2,*,24.5,31.2
27,Under-five mortality rate (U5MR),30.5,*,30.6,42.2
28,Any method (%),76.5,71.3,76.4,54.9
29,Any modern method (%),57.6,59.7,57.7,48.6
30,Female sterilization (%),18.0,18.6,18.0,19.8
31,Male sterilization (%),0.2,0.5,0.2,0.2
32,IUD/PPIUD (%),6.6,11.0,6.7,5.4
33,Pill (%),2.7,3.4,2.7,2.9
34,Condom (%),28.4,23.3,28.3,20.0
35,Injectables (%),0.3,1.8,0.4,0.1
36,Total unmet need(%),6.1,8.0,6.1,15.0
37,Unmet need for spacing (%),2.0,1.1,2.0,4.5
38,Health worker ever talked to female non-users about family planning (%),16.9,18.3,16.9,12.1
39,Current users ever told about side effects of current method (%),70.1,(84.1),70.8,40.8
40,Mothers who had an antenatal check-up in the first trimester (%),76.5,73.5,76.4,63.0
41,Mothers who had at least 4 antenatal care visits (%),77.1,83.1,77.2,67.9
42,Mothers whose last birth was protected against neonatal tetanus (%),93.5,89.1,93.4,90.6
43,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),68.9,75.7,69.1,53.8
44,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),48.8,54.1,49.0,29.9
45,Registered pregnancies for which the mother received a Mother and Child Protection (MCP)card (%),94.1,89.5,94.0,86.6
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),85.6,81.0,85.4,62.3
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,577","1,402","2,548","8,518"
48,Children born at home who were taken to a health facility for a check-up within 24 hours ofbirth (%),4.4,*,4.5,2.3
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),86.9,81.6,86.7,na
50,Institutional births (%),91.8,90.4,91.8,84.4
51,Institutional births in public facility (%),62.8,51.9,62.4,55.5
52,Home births that were conducted by skilled health personnel (%),2.4,0.7,2.3,3.6
53,Births attended by skilled health personnel (%),93.5,91.1,93.4,86.6
54,Births delivered by caesarean section (%),23.4,28.2,23.6,26.7
55,Births in a private health facility that were delivered by caesarean section (%),42.9,40.8,42.8,41.5
56,Births in a public health facility that were delivered by caesarean section (%),17.5,24.0,17.7,26.5
57,Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),76.0,(74.7),76.0,68.8
58,Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),79.4,(79.9),79.4,79.6
59,Children age 12-23 months who have received BCG (%),96.6,(100.0),96.8,95.0
60,Children age 12-23 months who have received 3 doses of polio vaccine (%),80.1,(81.3),80.2,79.0
61,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.9,(87.0),85.0,84.8
62,Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),90.1,(89.5),90.1,91.1
63,Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),37.6,(27.3),37.2,na
