Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),85.9
Population below age 15 years (%),25.3
"Sex ratio of the total population (females per 1,000 males)",859
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",898
Children under age 5 years whose birth was registered with the civil authority (%),94.9
Deaths in the last 3 years registered with the civil authority (%),84.8
Population living in households with electricity (%),100.0
Population living in households with an improved drinking-water source (%),99.1
Population living in households that use an improved sanitation facility(%),69.4
Households using clean fuel for cooking (%),98.3
Households using iodized salt (%),98.1
Households with any usual member covered under a health insurance/financing scheme (%),25.2
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),22.9
Women who are literate (%),81.8
Women with 10 or more years of schooling (%),57.9
Women age 20-24 years married before age 18 years (%),10.2
Births in the 5 years preceding the survey that are third or higher order (%),0.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.2
Any method (%),77.0
Any modern method (%),59.9
Female sterilization (%),17.8
Male sterilization (%),0.3
IUD/PPIUD (%),7.3
Pill (%),2.6
Condom (%),30.8
Injectables (%),0.0
Total unmet need(%),5.3
Unmet need for spacing (%),1.8
Health worker ever talked to female non-users about family planning (%),16.4
Current users ever told about side effects of current method (%),66.7
Mothers who had an antenatal check-up in the first trimester (%),83.2
Mothers who had at least 4 antenatal care visits (%),80.1
Mothers whose last birth was protected against neonatal tetanus (%),93.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),69.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),51.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),86.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,527"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),85.6
Institutional births (%),91.8
Institutional births in public facility (%),63.4
Home births that were conducted by skilled health personnel (%),1.4
Births attended by skilled health personnel (%),92.8
Births delivered by caesarean section (%),23.4
Births in a private health facility that were delivered by caesarean section (%),39.8
Births in a public health facility that were delivered by caesarean section (%),19.1
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),82.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.5)
Children age 12-23 months who have received BCG (%),100.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),82.2
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.4
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.0
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),40.3
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.1
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),55.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),95.8
Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.2
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.3
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),82.3
Children under age 3 years breastfed within one hour of birth (%),48.6
Children under age 6 months exclusively breastfed (%),(71.6)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),15.1
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),15.6
Children under 5 years who are stunted (height-for-age) (%),27.4
Children under 5 years who are wasted (weight-for-height) (%),6.8
Children under 5 years who are severely wasted (weight-for-height) (%),2.9
Children under 5 years who are underweight (weight-for-age) (%),20.7
Children under 5 years who are overweight (weight-for-height) (%),3.7
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),41.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),58.3
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),72.9
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),56.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
All women age 15-49 years who are anaemic (%),56.0
All women age 15-19 years who are anaemic (%),52.0
Women - Blood sugar level - high (141-160 mg/dl)(%),4.0
Women - Blood sugar level - very high (>160 mg/dl)(%),6.0
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.0
Men - Blood sugar level - high (141-160 mg/dl)(%),4.8
Men - Blood sugar level - very high (>160 mg/dl) (%),6.8
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.7
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.8
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.0
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),25.8
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.8
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.8
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),33.8
Ever undergone a screening test for cervical cancer (%),1.5
Ever undergone a breast examination for breast cancer (%),0.7
Ever undergone an oral cavity examination for oral cancer (%),1.2
Women age 15 years and above who use any kind of tobacco (%),2.4
Men age 15 years and above who use any kind of tobacco (%),29.0
Women age 15 years and above who consume alcohol (%),0.0
Men age 15 years and above who consume alcohol (%),28.2
