,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),90.4,86.2
1,Population below age 15 years (%),18.7,28.8
2,"Sex ratio of the total population (females per 1,000 males)",954,"1,000"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,075","1,137"
4,Children under age 5 years whose birth was registered with the civil authority (%),78.3,79.1
5,Deaths in the last 3 years registered with the civil authority (%),(42.8),na
6,Population living in households with electricity (%),99.5,99.3
7,Population living in households with an improved drinking-water source (%),89.9,83.7
8,Population living in households that use an improved sanitation facility(%),87.4,70.8
9,Households using clean fuel for cooking (%),61.7,55.6
10,Households using iodized salt (%),99.7,99.3
11,Households with any usual member covered under a health insurance/financing scheme (%),26.7,5.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(16.1),na
13,Women who are literate (%),95.2,na
14,Women with 10 or more years of schooling (%),70.9,48.6
15,Women age 20-24 years married before age 18 years (%),1.0,2.4
16,Births in the 5 years preceding the survey that are third or higher order (%),1.0,3.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.3,2.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.6,89.9
19,Any method (%),60.7,33.8
20,Any modern method (%),46.7,25.4
21,Female sterilization (%),18.6,12.9
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),19.0,8.4
24,Pill (%),4.5,1.4
25,Condom (%),3.1,2.2
26,Injectables (%),0.4,0.0
27,Total unmet need(%),9.1,19.8
28,Unmet need for spacing (%),7.2,10.7
29,Health worker ever talked to female non-users about family planning (%),11.6,7.8
30,Current users ever told about side effects of current method (%),(51.5),43.1
31,Mothers who had an antenatal check-up in the first trimester (%),61.9,42.9
32,Mothers who had at least 4 antenatal care visits (%),28.3,30.5
33,Mothers whose last birth was protected against neonatal tetanus (%),94.3,80.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.2,8.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),1.0,4.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.2,87.1
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),58.9,34.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,970","5,123"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.8
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),55.6,na
41,Institutional births (%),66.9,54.9
42,Institutional births in public facility (%),44.7,44.8
43,Home births that were conducted by skilled health personnel (%),12.2,9.0
44,Births attended by skilled health personnel (%),78.9,63.0
45,Births delivered by caesarean section (%),4.3,9.3
46,Births in a private health facility that were delivered by caesarean section (%),(8.9),34.0
47,Births in a public health facility that were delivered by caesarean section (%),5.2,13.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(82.8),60.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(90.2),76.7
50,Children age 12-23 months who have received BCG (%),(100.0),93.9
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(86.1),67.5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(88.7),77.2
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(86.6),71.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(20.9),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(17.8),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(88.7),71.1
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),76.8,39.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(89.2),92.4
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),7.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),0.5,5.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(49.9)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(20.3)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(21.6)
