Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),79.4,70.4
Population below age 15 years (%),23.5,35.6
"Sex ratio of the total population (females per 1,000 males)","1,006",910
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",775,818
Children under age 5 years whose birth was registered with the civil authority (%),71.4,67.2
Deaths in the last 3 years registered with the civil authority (%),50.9,na
Population living in households with electricity (%),96.4,86.4
Population living in households with an improved drinking-water source (%),86.7,73.9
Population living in households that use an improved sanitation facility(%),86.4,82.3
Households using clean fuel for cooking (%),13.0,5.8
Households using iodized salt (%),99.5,98.7
Households with any usual member covered under a health insurance/financing scheme (%),39.3,4.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(4.5),na
Women who are literate (%),78.2,na
Women with 10 or more years of schooling (%),24.3,17.8
Women age 20-24 years married before age 18 years (%),3.0,16.5
Births in the 5 years preceding the survey that are third or higher order (%),2.6,5.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.8,7.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),66.5,50.2
Any method (%),68.7,12.5
Any modern method (%),55.6,9.7
Female sterilization (%),12.6,3.4
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),31.8,3.6
Pill (%),7.2,1.8
Condom (%),2.2,0.5
Injectables (%),1.1,0.5
Total unmet need(%),3.7,22.3
Unmet need for spacing (%),0.6,13.4
Health worker ever talked to female non-users about family planning (%),11.2,3.7
Current users ever told about side effects of current method (%),79.8,(30.2)
Mothers who had an antenatal check-up in the first trimester (%),44.6,9.0
Mothers who had at least 4 antenatal care visits (%),9.7,3.6
Mothers whose last birth was protected against neonatal tetanus (%),78.0,38.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),10.6,0.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.4,0.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.8,65.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),25.6,5.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"(2,965)","(3,807)"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.5,0.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),22.4,na
Institutional births (%),21.4,9.7
Institutional births in public facility (%),20.2,8.8
Home births that were conducted by skilled health personnel (%),9.5,4.7
Births attended by skilled health personnel (%),30.9,14.4
Births delivered by caesarean section (%),1.4,1.3
Births in a private health facility that were delivered by caesarean section (%),*,*
Births in a public health facility that were delivered by caesarean section (%),(2.3),(12.1)
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),62.4,19.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(69.4),(47.4)
Children age 12-23 months who have received BCG (%),87.1,48.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),72.2,28.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.1,30.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.4,31.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.6,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.8,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),70.9,29.3
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),46.9,14.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.0,98.5
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.7,1.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,0.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Children under age 3 years breastfed within one hour of birth (%),53.1,69.3
Children under age 6 months exclusively breastfed (%),(48.4),41.2
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(77.4)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),1.7,17.8
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(16.0)
Total children age 6-23 months receiving an adequate diet  (%),5.8,17.4
Children under 5 years who are stunted (height-for-age) (%),35.5,35.8
Children under 5 years who are wasted (weight-for-height) (%),7.8,21.3
Children under 5 years who are severely wasted (weight-for-height) (%),0.5,9.7
Children under 5 years who are underweight (weight-for-age) (%),23.3,24.5
Children under 5 years who are overweight (weight-for-height) (%),3.2,7.2
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),8.7,15.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.4,5.3
Women who have high risk waist-to-hip ratio (≥0.85) (%),73.8,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),39.4,42.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),30.4,39.7
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(27.0),39.7
All women age 15-49 years who are anaemic (%),30.2,39.7
All women age 15-19 years who are anaemic (%),46.0,39.2
Women - Blood sugar level - high (141-160 mg/dl)(%),5.2,na
Women - Blood sugar level - very high (>160 mg/dl)(%),3.7,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.0,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.4,na
Men - Blood sugar level - very high (>160 mg/dl) (%),5.5,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.0,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.1,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.1,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.4,na
