District,Agency,Households,Women,Men
Dimapur,Research and Development Initiative (RDI) Pvt. Ltd,912,1053,155
Kiphire,Research and Development Initiative (RDI) Pvt. Ltd,922,799,125
Kohima,Research and Development Initiative (RDI) Pvt. Ltd,923,817,132
Longleng,Research and Development Initiative (RDI) Pvt. Ltd,924,873,132
Mokokchung,Research and Development Initiative (RDI) Pvt. Ltd,921,892,118
Mon,Research and Development Initiative (RDI) Pvt. Ltd,899,832,123
Peren,Research and Development Initiative (RDI) Pvt. Ltd,923,943,148
Phek,Research and Development Initiative (RDI) Pvt. Ltd,919,931,154
Tuensang,Research and Development Initiative (RDI) Pvt. Ltd,924,987,142
Wokha,Research and Development Initiative (RDI) Pvt. Ltd,921,789,124
Zunheboto,Research and Development Initiative (RDI) Pvt. Ltd,924,778,103
