,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),73.2,72.9
2,Population below age 15 years (%),24.5,25.6
3,"Sex ratio of the total population (females per 1,000 males)","1,027",935
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",868,879
5,Children under age 5 years whose birth was registered with the civil authority (%),85.5,73.8
6,Deaths in the last 3 years registered with the civil authority (%),68.7,na
7,Population living in households with electricity (%),96.7,88.5
8,Population living in households with an improved drinking-water source (%),76.2,77.3
9,Population living in households that use an improved sanitation facility(%),66.4,35.9
10,Households using clean fuel for cooking (%),23.8,21.4
11,Households using iodized salt (%),97.1,89.5
12,Households with any usual member covered under a health insurance/financing scheme (%),63.1,60.5
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.6,na
15,Women who are literate (%),72.4,na
16,Women with 10 or more years of schooling (%),33.7,27.6
18,Women age 20-24 years married before age 18 years (%),25.0,22.0
19,Births in the 5 years preceding the survey that are third or higher order (%),0.4,1.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.2,9.9
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),86.5,59.5
23,Any method (%),85.8,67.0
24,Any modern method (%),52.6,48.6
25,Female sterilization (%),25.7,24.8
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),2.8,2.1
28,Pill (%),16.3,20.0
29,Condom (%),6.6,1.6
30,Injectables (%),0.3,0.0
32,Total unmet need(%),2.9,10.2
33,Unmet need for spacing (%),1.5,3.8
35,Health worker ever talked to female non-users about family planning (%),11.9,27.7
36,Current users ever told about side effects of current method (%),62.0,58.5
39,Mothers who had an antenatal check-up in the first trimester (%),78.7,73.3
40,Mothers who had at least 4 antenatal care visits (%),83.7,68.4
41,Mothers whose last birth was protected against neonatal tetanus (%),97.0,98.8
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),53.7,38.0
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.6,4.2
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.6,98.5
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.8,85.2
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,832","3,496"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(13.2),*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,na
52,Institutional births (%),85.7,90.3
53,Institutional births in public facility (%),67.6,77.9
54,Home births that were conducted by skilled health personnel (%),4.1,2.5
55,Births attended by skilled health personnel (%),89.8,92.8
56,Births delivered by caesarean section (%),18.4,10.7
57,Births in a private health facility that were delivered by caesarean section (%),(62.8),(47.0)
58,Births in a public health facility that were delivered by caesarean section (%),10.3,6.3
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),87.0,88.9
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.5,92.4
63,Children age 12-23 months who have received BCG (%),98.2,100.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),88.8,93.8
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.3,99.2
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.1,94.3
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),38.3,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),83.2,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.3,91.4
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.9,78.1
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.5,100.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.0,4.6
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(61.9),*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(26.5),*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(54.6),*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.5,0.3
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),75.5,(72.6)
