Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),71.8,69.3
Population below age 15 years (%),25.0,28.8
"Sex ratio of the total population (females per 1,000 males)","1,053","1,072"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",822,"1,136"
Children under age 5 years whose birth was registered with the civil authority (%),92.4,65.1
Deaths in the last 3 years registered with the civil authority (%),67.9,na
Population living in households with electricity (%),95.3,82.5
Population living in households with an improved drinking-water source (%),86.2,85.5
Population living in households that use an improved sanitation facility(%),69.9,32.5
Households using clean fuel for cooking (%),18.4,7.4
Households using iodized salt (%),98.8,93.5
Households with any usual member covered under a health insurance/financing scheme (%),57.5,51.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.8,na
Women who are literate (%),66.7,na
Women with 10 or more years of schooling (%),31.3,25.6
Women age 20-24 years married before age 18 years (%),19.2,23.4
Births in the 5 years preceding the survey that are third or higher order (%),0.9,1.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.5,12.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.4,39.4
Any method (%),74.1,44.7
Any modern method (%),42.8,30.2
Female sterilization (%),21.9,16.9
Male sterilization (%),0.0,0.2
IUD/PPIUD (%),4.1,2.9
Pill (%),11.9,7.9
Condom (%),3.8,1.2
Injectables (%),0.2,0.2
Total unmet need(%),6.8,17.7
Unmet need for spacing (%),2.4,5.9
Health worker ever talked to female non-users about family planning (%),21.0,26.6
Current users ever told about side effects of current method (%),71.4,44.8
Mothers who had an antenatal check-up in the first trimester (%),75.2,49.9
Mothers who had at least 4 antenatal care visits (%),77.5,58.4
Mothers whose last birth was protected against neonatal tetanus (%),94.2,93.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.2,34.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.7,3.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,96.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),88.5,71.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,319","4,263"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(14.6)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),89.0,na
Institutional births (%),91.2,85.3
Institutional births in public facility (%),76.6,78.5
Home births that were conducted by skilled health personnel (%),3.7,2.8
Births attended by skilled health personnel (%),90.8,86.7
Births delivered by caesarean section (%),15.9,8.5
Births in a private health facility that were delivered by caesarean section (%),(54.6),*
Births in a public health facility that were delivered by caesarean section (%),10.3,6.3
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(100.0),68.4
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.1),(74.6)
Children age 12-23 months who have received BCG (%),(100.0),96.7
Children age 12-23 months who have received 3 doses of polio vaccine (%),(100.0),76.8
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(100.0),90.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(100.0),86.4
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(47.0),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(97.2),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(100.0),75.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.9,77.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),13.4,13.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(62.2),(64.5)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(43.4),(8.9)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.9),(59.4)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.4,2.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(84.6),65.9
Children under age 3 years breastfed within one hour of birth (%),71.5,72.4
Children under age 6 months exclusively breastfed (%),*,(69.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),13.0,11.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),13.0,10.3
Children under 5 years who are stunted (height-for-age) (%),28.4,33.4
Children under 5 years who are wasted (weight-for-height) (%),27.3,19.9
Children under 5 years who are severely wasted (weight-for-height) (%),12.1,5.2
Children under 5 years who are underweight (weight-for-age) (%),34.3,37.5
Children under 5 years who are overweight (weight-for-height) (%),3.2,1.3
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),23.3,31.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),13.4,10.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),54.7,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),61.5,30.0
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),72.1,42.7
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(41.1)
All women age 15-49 years who are anaemic (%),72.2,42.6
All women age 15-19 years who are anaemic (%),73.5,45.9
Women - Blood sugar level - high (141-160 mg/dl)(%),5.6,na
Women - Blood sugar level - very high (>160 mg/dl)(%),4.5,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.7,na
Men - Blood sugar level - high (141-160 mg/dl)(%),8.2,na
Men - Blood sugar level - very high (>160 mg/dl) (%),7.9,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.9,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.8,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.5,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),20.1,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.0,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.8,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),27.5,na
Ever undergone a screening test for cervical cancer (%),0.9,na
Ever undergone a breast examination for breast cancer (%),0.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.2,na
Women age 15 years and above who use any kind of tobacco (%),20.8,na
Men age 15 years and above who use any kind of tobacco (%),59.2,na
Women age 15 years and above who consume alcohol (%),6.9,na
Men age 15 years and above who consume alcohol (%),44.2,na
