,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),76.2,72.2
1,Population below age 15 years (%),25.4,25.9
2,"Sex ratio of the total population (females per 1,000 males)","1,047","1,026"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",895,"1,044"
4,Children under age 5 years whose birth was registered with the civil authority (%),89.5,80.3
5,Deaths in the last 3 years registered with the civil authority (%),64.2,na
6,Population living in households with electricity (%),96.3,89.0
7,Population living in households with an improved drinking-water source (%),63.4,57.8
8,Population living in households that use an improved sanitation facility(%),58.2,33.4
9,Households using clean fuel for cooking (%),28.8,21.0
10,Households using iodized salt (%),98.0,98.7
11,Households with any usual member covered under a health insurance/financing scheme (%),55.2,52.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),19.4,na
13,Women who are literate (%),74.1,na
14,Women with 10 or more years of schooling (%),33.3,33.5
15,Women age 20-24 years married before age 18 years (%),23.7,25.4
16,Births in the 5 years preceding the survey that are third or higher order (%),0.8,0.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.3,7.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.9,57.6
19,Any method (%),75.9,69.2
20,Any modern method (%),48.2,52.0
21,Female sterilization (%),31.5,36.0
22,Male sterilization (%),0.3,0.0
23,IUD/PPIUD (%),1.4,0.5
24,Pill (%),10.7,11.7
25,Condom (%),3.4,3.2
26,Injectables (%),0.3,0.0
27,Total unmet need(%),8.1,9.0
28,Unmet need for spacing (%),2.4,3.8
29,Health worker ever talked to female non-users about family planning (%),23.9,25.4
30,Current users ever told about side effects of current method (%),64.0,49.7
31,Mothers who had an antenatal check-up in the first trimester (%),72.4,64.4
32,Mothers who had at least 4 antenatal care visits (%),75.8,69.9
33,Mothers whose last birth was protected against neonatal tetanus (%),95.6,98.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.9,35.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),26.4,3.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,97.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),90.7,81.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,371","4,457"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),89.8,na
41,Institutional births (%),94.8,90.1
42,Institutional births in public facility (%),72.8,78.9
43,Home births that were conducted by skilled health personnel (%),1.3,3.8
44,Births attended by skilled health personnel (%),93.2,93.3
45,Births delivered by caesarean section (%),30.0,18.5
46,Births in a private health facility that were delivered by caesarean section (%),67.3,(65.1)
47,Births in a public health facility that were delivered by caesarean section (%),20.9,14.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(88.6),87.0
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(86.0),87.6
50,Children age 12-23 months who have received BCG (%),(97.8),100.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(95.4),88.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(97.7),100.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.7),98.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(44.3),na
