Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),63.0,59.3
Population below age 15 years (%),26.0,27.4
"Sex ratio of the total population (females per 1,000 males)","1,056","1,032"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",837,974
Children under age 5 years whose birth was registered with the civil authority (%),85.1,79.5
Deaths in the last 3 years registered with the civil authority (%),65.5,na
Population living in households with electricity (%),90.3,74.7
Population living in households with an improved drinking-water source (%),80.1,81.7
Population living in households that use an improved sanitation facility(%),54.4,17.5
Households using clean fuel for cooking (%),16.1,9.5
Households using iodized salt (%),98.9,78.8
Households with any usual member covered under a health insurance/financing scheme (%),46.5,39.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.1,na
Women who are literate (%),58.6,na
Women with 10 or more years of schooling (%),25.1,23.6
Women age 20-24 years married before age 18 years (%),31.3,35.0
Births in the 5 years preceding the survey that are third or higher order (%),1.3,1.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),17.2,16.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),76.2,39.9
Any method (%),76.3,41.2
Any modern method (%),50.8,32.9
Female sterilization (%),25.0,17.2
Male sterilization (%),0.3,0.3
IUD/PPIUD (%),2.9,0.8
Pill (%),14.9,10.7
Condom (%),5.4,3.1
Injectables (%),0.1,0.6
Total unmet need(%),5.9,16.2
Unmet need for spacing (%),2.5,5.6
Health worker ever talked to female non-users about family planning (%),18.4,27.4
Current users ever told about side effects of current method (%),69.4,56.0
Mothers who had an antenatal check-up in the first trimester (%),65.9,64.0
Mothers who had at least 4 antenatal care visits (%),52.9,71.6
Mothers whose last birth was protected against neonatal tetanus (%),91.2,91.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),41.7,34.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.6,5.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7,94.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),86.3,74.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,841","3,775"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(9.6)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),81.2,na
Institutional births (%),91.7,84.9
Institutional births in public facility (%),90.2,82.6
Home births that were conducted by skilled health personnel (%),2.4,4.9
Births attended by skilled health personnel (%),87.1,84.9
Births delivered by caesarean section (%),8.6,7.8
Births in a private health facility that were delivered by caesarean section (%),*,*
Births in a public health facility that were delivered by caesarean section (%),8.6,8.2
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),84.4,72.7
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),85.4,(94.9)
Children age 12-23 months who have received BCG (%),93.2,88.5
Children age 12-23 months who have received 3 doses of polio vaccine (%),86.2,72.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.6,83.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.0,88.5
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),39.9,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),86.2,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.0,76.5
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),78.9,79.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.0,100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.0,0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),17.5,16.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(59.5),57.7
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(34.7),19.2
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(52.1),60.2
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.2,0.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(49.1),(80.2)
Children under age 3 years breastfed within one hour of birth (%),58.4,60.1
Children under age 6 months exclusively breastfed (%),(68.6),(81.4)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),24.6,7.9
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),23.7,7.3
Children under 5 years who are stunted (height-for-age) (%),36.7,43.5
Children under 5 years who are wasted (weight-for-height) (%),28.5,17.2
Children under 5 years who are severely wasted (weight-for-height) (%),10.4,5.0
Children under 5 years who are underweight (weight-for-age) (%),45.9,43.8
Children under 5 years who are overweight (weight-for-height) (%),3.0,1.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),30.2,31.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),14.3,8.6
Women who have high risk waist-to-hip ratio (≥0.85) (%),61.3,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.7,34.5
