,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),76.1,74.5
1,Population below age 15 years (%),23.1,25.8
2,"Sex ratio of the total population (females per 1,000 males)","1,083","1,009"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",845,725
4,Children under age 5 years whose birth was registered with the civil authority (%),92.5,88.0
5,Deaths in the last 3 years registered with the civil authority (%),71.8,na
6,Population living in households with electricity (%),98.3,94.3
7,Population living in households with an improved drinking-water source (%),82.9,79.9
8,Population living in households that use an improved sanitation facility(%),67.1,33.5
9,Households using clean fuel for cooking (%),42.3,21.0
10,Households using iodized salt (%),98.1,91.2
11,Households with any usual member covered under a health insurance/financing scheme (%),49.3,53.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.6,na
13,Women who are literate (%),80.4,na
14,Women with 10 or more years of schooling (%),27.1,21.9
15,Women age 20-24 years married before age 18 years (%),35.7,31.3
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,1.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.0,15.9
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),89.6,63.5
19,Any method (%),78.2,62.9
20,Any modern method (%),43.7,50.9
21,Female sterilization (%),31.7,31.5
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),1.7,2.4
24,Pill (%),4.2,13.1
25,Condom (%),5.5,3.9
26,Injectables (%),0.0,0.0
27,Total unmet need(%),4.6,11.0
28,Unmet need for spacing (%),1.5,4.8
29,Health worker ever talked to female non-users about family planning (%),32.2,14.6
30,Current users ever told about side effects of current method (%),81.8,69.1
31,Mothers who had an antenatal check-up in the first trimester (%),86.0,48.5
32,Mothers who had at least 4 antenatal care visits (%),90.3,58.1
33,Mothers whose last birth was protected against neonatal tetanus (%),96.1,91.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),66.4,38.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),49.3,5.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,99.5
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),96.2,74.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,481","3,733"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),96.1,na
41,Institutional births (%),98.3,92.5
42,Institutional births in public facility (%),75.2,78.9
43,Home births that were conducted by skilled health personnel (%),0.4,1.4
44,Births attended by skilled health personnel (%),98.4,93.1
45,Births delivered by caesarean section (%),28.1,15.7
46,Births in a private health facility that were delivered by caesarean section (%),82.1,(56.8)
47,Births in a public health facility that were delivered by caesarean section (%),12.2,10.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(96.1),(85.9)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(96.1),(92.9)
50,Children age 12-23 months who have received BCG (%),(98.2),(95.8)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(96.1),(89.7)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(96.1),(93.8)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(98.2),(90.1)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(50.3),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(91.9),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(96.1),(89.7)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),92.0,85.9
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.6,17.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(52.8),(67.8)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(27.6),(22.8)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(48.4),(67.6)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,5.9
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(76.6),74.3
66,Children under age 3 years breastfed within one hour of birth (%),76.8,62.1
67,Children under age 6 months exclusively breastfed (%),*,(67.8)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),21.8,8.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),20.3,8.6
72,Children under 5 years who are stunted (height-for-age) (%),20.0,28.0
73,Children under 5 years who are wasted (weight-for-height) (%),10.5,17.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),1.5,4.1
75,Children under 5 years who are underweight (weight-for-age) (%),20.2,25.4
76,Children under 5 years who are overweight (weight-for-height) (%),2.9,2.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.1,16.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),30.3,22.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),68.5,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),55.2,26.5
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),62.6,40.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(61.6),(34.0)
83,All women age 15-49 years who are anaemic (%),62.5,39.8
84,All women age 15-19 years who are anaemic (%),61.2,34.9
85,Women - Blood sugar level - high (141-160 mg/dl)(%),9.9,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),9.7,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.7,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),10.1,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),12.5,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),24.0,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.4,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.9,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),22.0,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.6,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.0,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),18.8,na
97,Ever undergone a screening test for cervical cancer (%),1.0,na
98,Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
100,Women age 15 years and above who use any kind of tobacco (%),16.9,na
101,Men age 15 years and above who use any kind of tobacco (%),54.3,na
102,Women age 15 years and above who consume alcohol (%),0.3,na
103,Men age 15 years and above who consume alcohol (%),20.9,na
