Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),50.8,43.8
Population below age 15 years (%),30.9,29.7
"Sex ratio of the total population (females per 1,000 males)","1,110","1,074"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",951,967
Children under age 5 years whose birth was registered with the civil authority (%),75.6,79.1
Deaths in the last 3 years registered with the civil authority (%),68.8,na
Population living in households with electricity (%),96.6,80.5
Population living in households with an improved drinking-water source (%),91.3,92.0
Population living in households that use an improved sanitation facility(%),50.5,23.4
Households using clean fuel for cooking (%),30.2,17.1
Households using iodized salt (%),96.5,80.8
Households with any usual member covered under a health insurance/financing scheme (%),45.5,54.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.9,na
Women who are literate (%),42.0,na
Women with 10 or more years of schooling (%),19.1,12.7
Women age 20-24 years married before age 18 years (%),33.2,34.4
Births in the 5 years preceding the survey that are third or higher order (%),1.4,0.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.2,10.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),63.5,30.4
Any method (%),72.7,54.9
Any modern method (%),45.3,44.5
Female sterilization (%),30.6,32.0
Male sterilization (%),1.5,1.6
IUD/PPIUD (%),2.2,1.0
Pill (%),6.7,8.6
Condom (%),1.9,1.3
Injectables (%),0.7,0.0
Total unmet need(%),6.1,10.6
Unmet need for spacing (%),2.6,5.0
Health worker ever talked to female non-users about family planning (%),30.1,16.8
Current users ever told about side effects of current method (%),77.3,75.9
Mothers who had an antenatal check-up in the first trimester (%),74.1,48.1
Mothers who had at least 4 antenatal care visits (%),85.3,59.3
Mothers whose last birth was protected against neonatal tetanus (%),94.1,90.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),64.3,50.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.0,8.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.6,96.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),69.7,68.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,972","1,849"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),8.6,10.9
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),70.4,na
Institutional births (%),68.9,71.5
Institutional births in public facility (%),63.5,68.3
Home births that were conducted by skilled health personnel (%),3.5,8.9
Births attended by skilled health personnel (%),72.1,80.0
Births delivered by caesarean section (%),8.5,5.0
Births in a private health facility that were delivered by caesarean section (%),*,*
Births in a public health facility that were delivered by caesarean section (%),10.7,4.6
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),92.7,71.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),92.7,80.4
Children age 12-23 months who have received BCG (%),93.9,93.1
Children age 12-23 months who have received 3 doses of polio vaccine (%),93.7,83.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.7,87.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.7,76.5
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),53.1,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),92.8,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.8,84.5
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),90.4,76.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.7,98.7
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.3,1.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.1,11.3
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(76.4)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(22.5)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(69.0)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.1,2.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(65.1),(69.6)
Children under age 3 years breastfed within one hour of birth (%),74.5,70.7
Children under age 6 months exclusively breastfed (%),(86.7),(70.2)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),25.2,11.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),24.7,10.3
Children under 5 years who are stunted (height-for-age) (%),43.6,43.5
Children under 5 years who are wasted (weight-for-height) (%),16.1,23.1
Children under 5 years who are severely wasted (weight-for-height) (%),3.6,6.0
Children under 5 years who are underweight (weight-for-age) (%),39.8,42.4
Children under 5 years who are overweight (weight-for-height) (%),0.6,3.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),26.7,33.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),14.8,10.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),57.3,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.5,49.8
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),68.8,55.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(77.3),(52.5)
All women age 15-49 years who are anaemic (%),69.1,55.4
All women age 15-19 years who are anaemic (%),73.7,56.4
Women - Blood sugar level - high (141-160 mg/dl)(%),6.6,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.8,na
Men - Blood sugar level - high (141-160 mg/dl)(%),6.9,na
Men - Blood sugar level - very high (>160 mg/dl) (%),8.4,na
