Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),74.6,72.4
Population below age 15 years (%),22.6,24.1
"Sex ratio of the total population (females per 1,000 males)","1,067","1,027"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,061",973
Children under age 5 years whose birth was registered with the civil authority (%),95.1,95.7
Deaths in the last 3 years registered with the civil authority (%),83.7,na
Population living in households with electricity (%),98.8,89.4
Population living in households with an improved drinking-water source (%),93.0,89.5
Population living in households that use an improved sanitation facility(%),62.4,34.9
Households using clean fuel for cooking (%),42.6,22.7
Households using iodized salt (%),97.8,96.9
Households with any usual member covered under a health insurance/financing scheme (%),49.3,50.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(4.3),na
Women who are literate (%),71.1,na
Women with 10 or more years of schooling (%),36.5,25.9
Women age 20-24 years married before age 18 years (%),7.4,11.8
Births in the 5 years preceding the survey that are third or higher order (%),1.9,1.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.9,2.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),86.1,47.2
Any method (%),77.1,60.3
Any modern method (%),58.1,48.9
Female sterilization (%),32.6,33.2
Male sterilization (%),0.3,0.1
IUD/PPIUD (%),2.5,0.3
Pill (%),14.5,11.1
Condom (%),5.5,3.7
Injectables (%),0.4,0.0
Total unmet need(%),9.1,10.7
Unmet need for spacing (%),3.6,3.9
Health worker ever talked to female non-users about family planning (%),24.2,23.9
Current users ever told about side effects of current method (%),83.9,56.1
Mothers who had an antenatal check-up in the first trimester (%),79.0,71.9
Mothers who had at least 4 antenatal care visits (%),89.0,83.0
Mothers whose last birth was protected against neonatal tetanus (%),90.8,98.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.1,43.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.6,2.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,99.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.5,74.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,191","3,790"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.1,na
Institutional births (%),99.5,90.3
Institutional births in public facility (%),88.7,78.9
Home births that were conducted by skilled health personnel (%),0.5,1.8
Births attended by skilled health personnel (%),97.6,92.2
Births delivered by caesarean section (%),25.3,19.9
Births in a private health facility that were delivered by caesarean section (%),*,(53.5)
Births in a public health facility that were delivered by caesarean section (%),19.3,17.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(98.0),74.4
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.9),(89.9)
Children age 12-23 months who have received BCG (%),(100.0),93.1
Children age 12-23 months who have received 3 doses of polio vaccine (%),(98.0),79.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(100.0),86.4
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(100.0),86.5
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(51.4),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(92.1),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(100.0),77.9
