District,Agency,Households,Women,Men
Anugul,Indian Institute of Health Management Research (IIHMR),913,964,148
Balangir,Indian Institute of Health Management Research (IIHMR),909,989,143
Baleshwar,Indian Institute of Health Management Research (IIHMR),893,856,100
Bargarh,Indian Institute of Health Management Research (IIHMR),896,891,145
Baudh,Indian Institute of Health Management Research (IIHMR),916,970,140
Bhadrak,Indian Institute of Health Management Research (IIHMR),853,936,106
Cuttack,Indian Institute of Health Management Research (IIHMR),879,845,130
Debagarh,Indian Institute of Health Management Research (IIHMR),857,859,114
Dhenkanal,Indian Institute of Health Management Research (IIHMR),845,857,98
Gajapati,Indian Institute of Health Management Research (IIHMR),855,883,109
Ganjam,Indian Institute of Health Management Research (IIHMR),849,955,111
Jagatsinghapur,Indian Institute of Health Management Research (IIHMR),885,889,103
Jajapur,Indian Institute of Health Management Research (IIHMR),889,959,140
Jharsuguda,Indian Institute of Health Management Research (IIHMR),854,904,133
Kalahandi,Indian Institute of Health Management Research (IIHMR),919,1034,161
Kandhamal,Indian Institute of Health Management Research (IIHMR),915,1015,152
Kendrapara,Indian Institute of Health Management Research (IIHMR),833,860,111
Kendujhar,Indian Institute of Health Management Research (IIHMR),892,971,128
Khordha,Indian Institute of Health Management Research (IIHMR),827,927,116
Koraput,Indian Institute of Health Management Research (IIHMR),885,982,140
Malkangiri,Indian Institute of Health Management Research (IIHMR),916,1080,137
Mayurbhanj,Indian Institute of Health Management Research (IIHMR),896,921,123
Nabarangapur,Indian Institute of Health Management Research (IIHMR),916,1017,155
Nayagarh,Indian Institute of Health Management Research (IIHMR),881,917,132
Nuapada,Indian Institute of Health Management Research (IIHMR),881,944,139
Puri,Indian Institute of Health Management Research (IIHMR),870,930,120
Rayagada,Indian Institute of Health Management Research (IIHMR),880,910,135
Sambalpur,Indian Institute of Health Management Research (IIHMR),890,876,133
Subarnapur,Indian Institute of Health Management Research (IIHMR),911,947,144
Sundargarh,Indian Institute of Health Management Research (IIHMR),862,883,119
