,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),70.8
1,Population below age 15 years (%),23.7
2,"Sex ratio of the total population (females per 1,000 males)",944
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",951
4,Children under age 5 years whose birth was registered with the civil authority (%),96.8
5,Deaths in the last 3 years registered with the civil authority (%),79.9
6,Population living in households with electricity (%),99.8
7,Population living in households with an improved drinking-water source (%),97.3
8,Population living in households that use an improved sanitation facility(%),81.8
9,Households using clean fuel for cooking (%),57.1
10,Households using iodized salt (%),97.1
11,Households with any usual member covered under a health insurance/financing scheme (%),20.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.8
13,Women who are literate (%),69.4
14,Women with 10 or more years of schooling (%),41.3
15,Women age 20-24 years married before age 18 years (%),12.4
16,Births in the 5 years preceding the survey that are third or higher order (%),2.5
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),85.3
19,Any method (%),68.0
20,Any modern method (%),56.3
21,Female sterilization (%),28.6
22,Male sterilization (%),0.2
23,IUD/PPIUD (%),4.3
24,Pill (%),2.7
25,Condom (%),20.1
26,Injectables (%),0.1
27,Total unmet need(%),7.1
28,Unmet need for spacing (%),2.6
29,Health worker ever talked to female non-users about family planning (%),12.2
30,Current users ever told about side effects of current method (%),68.6
31,Mothers who had an antenatal check-up in the first trimester (%),65.2
32,Mothers who had at least 4 antenatal care visits (%),36.5
33,Mothers whose last birth was protected against neonatal tetanus (%),84.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),38.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.0
37,delivery (%),84.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,803"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),83.6
41,Institutional births (%),91.7
42,Institutional births in public facility (%),53.2
43,Home births that were conducted by skilled health personnel (%),3.8
44,Births attended by skilled health personnel (%),93.7
45,Births delivered by caesarean section (%),25.2
46,Births in a private health facility that were delivered by caesarean section (%),40.4
47,Births in a public health facility that were delivered by caesarean section (%),18.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(60.5)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(72.6)
50,Children age 12-23 months who have received BCG (%),(93.9)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(71.1)
