,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),89.0,83.4
1,Population below age 15 years (%),19.9,22.7
2,"Sex ratio of the total population (females per 1,000 males)",999,943
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",970,894
4,Children under age 5 years whose birth was registered with the civil authority (%),97.7,98.8
5,Deaths in the last 3 years registered with the civil authority (%),98.5,na
6,Population living in households with electricity (%),99.9,99.6
7,Population living in households with an improved drinking-water source (%),99.9,100.0
8,Population living in households that use an improved sanitation facility(%),89.7,74.7
9,Households using clean fuel for cooking (%),77.3,62.7
10,Households using iodized salt (%),97.4,98.9
11,Households with any usual member covered under a health insurance/financing scheme (%),27.7,16.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.3,na
13,Women who are literate (%),91.3,na
14,Women with 10 or more years of schooling (%),73.2,64.3
15,Women age 20-24 years married before age 18 years (%),4.7,6.7
16,Births in the 5 years preceding the survey that are third or higher order (%),1.4,0.8
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.6,1.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.4,87.4
19,Any method (%),65.6,70.3
20,Any modern method (%),46.3,63.5
21,Female sterilization (%),20.4,37.4
22,Male sterilization (%),0.1,1.0
23,IUD/PPIUD (%),1.2,4.1
24,Pill (%),1.4,2.6
25,Condom (%),22.6,18.2
26,Injectables (%),0.0,0.2
27,Total unmet need(%),11.9,9.0
28,Unmet need for spacing (%),5.7,3.8
29,Health worker ever talked to female non-users about family planning (%),22.8,43.1
30,Current users ever told about side effects of current method (%),*,79.3
31,Mothers who had an antenatal check-up in the first trimester (%),80.1,70.4
32,Mothers who had at least 4 antenatal care visits (%),59.7,69.8
33,Mothers whose last birth was protected against neonatal tetanus (%),95.3,94.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),57.8,35.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.4,20.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,93.1
37,days of delivery (%),92.9,84.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,682","1,057"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),90.0,na
41,Institutional births (%),98.3,91.3
42,Institutional births in public facility (%),50.4,67.6
43,Home births that were conducted by skilled health personnel (%),0.0,4.6
44,Births attended by skilled health personnel (%),98.3,95.9
45,Births delivered by caesarean section (%),43.8,26.2
46,Births in a private health facility that were delivered by caesarean section (%),65.5,36.2
47,Births in a public health facility that were delivered by caesarean section (%),24.7,26.0
48,mother's recall (%),(92.9),(92.7)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.6),(92.1)
50,Children age 12-23 months who have received BCG (%),(100.0),(97.8)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(92.9),(97.8)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(95.3),(95.3)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(95.4),(95.2)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(29.2),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(83.3),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(97.7),(97.8)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.3,72.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(95.6),(97.4)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(4.4),(2.6)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.7,5.0
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.3,1.6
65,health provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),58.5,28.3
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet(%),(11.8),5.2
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet(%),12.6,5.7
72,Children under 5 years who are stunted (height-for-age) (%),19.3,25.7
73,Children under 5 years who are wasted (weight-for-height) (%),11.5,16.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),2.5,7.1
75,Children under 5 years who are underweight (weight-for-age) (%),12.4,21.1
76,Children under 5 years who are overweight (weight-for-height) (%),3.8,3.9
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.8,13.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),40.7,31.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),75.8,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.6,59.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.2,62.3
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(38.0)
83,All women age 15-49 years who are anaemic (%),54.1,61.3
84,All women age 15-19 years who are anaemic (%),50.4,69.3
