Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),82.8
Population below age 15 years (%),20.9
"Sex ratio of the total population (females per 1,000 males)",952
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",756
Children under age 5 years whose birth was registered with the civil authority (%),98.6
Deaths in the last 3 years registered with the civil authority (%),95.8
Population living in households with electricity (%),99.9
Population living in households with an improved drinking-water source (%),98.6
Population living in households that use an improved sanitation facility(%),79.2
Households using clean fuel for cooking (%),79.8
Households using iodized salt (%),96.6
Households with any usual member covered under a health insurance/financing scheme (%),27.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
Women who are literate (%),88.7
Women with 10 or more years of schooling (%),74.0
Women age 20-24 years married before age 18 years (%),4.6
Births in the 5 years preceding the survey that are third or higher order (%),0.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.8
Any method (%),62.6
Any modern method (%),42.7
Female sterilization (%),15.5
Male sterilization (%),0.0
IUD/PPIUD (%),1.7
Pill (%),2.8
Condom (%),22.2
Injectables (%),0.0
Total unmet need(%),10.5
Unmet need for spacing (%),3.6
Health worker ever talked to female non-users about family planning (%),25.1
Current users ever told about side effects of current method (%),(81.3)
Mothers who had an antenatal check-up in the first trimester (%),63.5
Mothers who had at least 4 antenatal care visits (%),52.4
Mothers whose last birth was protected against neonatal tetanus (%),97.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),61.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),88.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,141"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),82.4
Institutional births (%),94.8
Institutional births in public facility (%),50.9
Home births that were conducted by skilled health personnel (%),2.1
Births attended by skilled health personnel (%),95.0
Births delivered by caesarean section (%),52.9
Births in a private health facility that were delivered by caesarean section (%),75.1
Births in a public health facility that were delivered by caesarean section (%),39.1
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(77.4)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(74.5)
Children age 12-23 months who have received BCG (%),(92.2)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(77.4)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(91.9)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(91.9)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(24.2)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(72.1)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(89.4)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),65.8
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.1)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.9)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),41.4
Children under age 6 months exclusively breastfed (%),(49.4)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
