,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),84.3,81.9
1,Population below age 15 years (%),20.9,24.7
2,"Sex ratio of the total population (females per 1,000 males)",876,864
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",855,815
4,Children under age 5 years whose birth was registered with the civil authority (%),97.5,96.6
5,Deaths in the last 3 years registered with the civil authority (%),89.7,na
6,Population living in households with electricity (%),99.6,99.4
7,Population living in households with an improved drinking-water source (%),99.9,99.9
8,Population living in households that use an improved sanitation facility(%),87.6,80.2
9,Households using clean fuel for cooking (%),88.9,80.7
10,Households using iodized salt (%),96.8,98.7
11,Households with any usual member covered under a health insurance/financing scheme (%),31.0,29.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.0,na
13,Women who are literate (%),83.5,na
14,Women with 10 or more years of schooling (%),62.5,59.5
15,Women age 20-24 years married before age 18 years (%),10.6,12.1
16,Births in the 5 years preceding the survey that are third or higher order (%),0.4,2.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.9,2.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.9,87.8
19,Any method (%),76.5,75.5
20,Any modern method (%),53.6,55.4
21,Female sterilization (%),20.1,26.9
22,Male sterilization (%),0.4,1.0
23,IUD/PPIUD (%),2.4,4.8
24,Pill (%),1.0,1.2
25,Condom (%),29.7,21.5
26,Injectables (%),0.0,0.1
27,Total unmet need(%),4.7,6.8
28,Unmet need for spacing (%),2.4,1.5
29,Health worker ever talked to female non-users about family planning (%),29.4,25.9
30,Current users ever told about side effects of current method (%),(69.6),72.9
31,Mothers who had an antenatal check-up in the first trimester (%),81.2,86.9
32,Mothers who had at least 4 antenatal care visits (%),69.0,79.9
33,Mothers whose last birth was protected against neonatal tetanus (%),91.8,83.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),70.3,60.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),58.8,39.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,94.4
37,days of delivery (%),87.3,83.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,710","2,607"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),86.6,na
41,Institutional births (%),97.4,88.9
42,Institutional births in public facility (%),74.7,69.2
43,Home births that were conducted by skilled health personnel (%),0.5,0.3
44,Births attended by skilled health personnel (%),97.9,88.8
45,Births delivered by caesarean section (%),34.6,22.2
46,Births in a private health facility that were delivered by caesarean section (%),38.8,(41.5)
47,Births in a public health facility that were delivered by caesarean section (%),34.6,20.3
48,mother's recall (%),71.1,90.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(78.6),96.0
50,Children age 12-23 months who have received BCG (%),96.8,98.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),74.2,92.7
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.0,94.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.7,94.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.8,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),64.5,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.9,85.2
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.6,60.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.2,87.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),8.8,12.5
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.0,17.5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(75.0)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(27.9)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(80.3)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.5,3.2
65,health provider (%),*,94.2
66,Children under age 3 years breastfed within one hour of birth (%),60.8,42.9
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet(%),18.3,8.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet(%),18.0,6.8
72,Children under 5 years who are stunted (height-for-age) (%),26.2,24.1
73,Children under 5 years who are wasted (weight-for-height) (%),10.7,9.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),2.3,1.2
75,Children under 5 years who are underweight (weight-for-age) (%),23.0,24.0
76,Children under 5 years who are overweight (weight-for-height) (%),4.6,2.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.5,13.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),48.9,39.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),64.3,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),63.7,66.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.6,60.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(56.4),(40.4)
83,All women age 15-49 years who are anaemic (%),59.5,59.6
84,All women age 15-19 years who are anaemic (%),59.5,62.4
85,Blood sugar level - high (141-160 mg/dl)(%),6.5,na
86,Blood sugar level - very high (>160 mg/dl)(%),9.5,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.1,na
88,Blood sugar level - high (141-160 mg/dl)(%),7.2,na
89,Blood sugar level - very high (>160 mg/dl) (%),9.9,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.1,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.3,na
