District,Agency,Households,Women,Men
Amritsar,Society for Promotion of Youth and Masses (SPYM),836,965,169
Barnala,Society for Promotion of Youth and Masses (SPYM),853,956,158
Bathinda,Society for Promotion of Youth and Masses (SPYM),824,908,155
Faridkot,Society for Promotion of Youth and Masses (SPYM),856,968,142
Fatehgarh Sahib,Society for Promotion of Youth and Masses (SPYM),841,905,147
Fazilka,Society for Promotion of Youth and Masses (SPYM),897,1131,187
Firozpur,Society for Promotion of Youth and Masses (SPYM),901,1176,172
Gurudaspur,Society for Promotion of Youth and Masses (SPYM),855,960,137
Hoshiarpur,Society for Promotion of Youth and Masses (SPYM),883,1027,155
Jalandhar,Society for Promotion of Youth and Masses (SPYM),867,898,141
Kapurthala,Society for Promotion of Youth and Masses (SPYM),853,968,154
Ludhiana,Society for Promotion of Youth and Masses (SPYM),799,817,134
Mansa,Society for Promotion of Youth and Masses (SPYM),888,1080,153
Moga,Society for Promotion of Youth and Masses (SPYM),869,1032,187
Muktsar,Society for Promotion of Youth and Masses (SPYM),849,1022,173
Pathankot,Society for Promotion of Youth and Masses (SPYM),851,935,125
Patiala,Society for Promotion of Youth and Masses (SPYM),841,981,142
Rupnagar,Society for Promotion of Youth and Masses (SPYM),816,969,109
Sahibzada Ajit Singh Nagar,Society for Promotion of Youth and Masses (SPYM),821,873,107
Sangrur,Society for Promotion of Youth and Masses (SPYM),858,1052,150
Shahid Bhagat Singh Nagar,Society for Promotion of Youth and Masses (SPYM),889,1103,162
Tarn Taran,Society for Promotion of Youth and Masses (SPYM),877,1045,137
