,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),73.5,68.5
2,Population below age 15 years (%),21.2,21.7
3,"Sex ratio of the total population (females per 1,000 males)",937,893
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",798,736
5,Children under age 5 years whose birth was registered with the civil authority (%),98.4,96.3
6,Deaths in the last 3 years registered with the civil authority (%),86.2,na
7,Population living in households with electricity (%),99.6,99.8
8,Population living in households with an improved drinking-water source (%),99.7,99.5
9,Population living in households that use an improved sanitation facility(%),92.4,88.7
10,Households using clean fuel for cooking (%),69.8,51.8
11,Households using iodized salt (%),95.3,95.6
12,Households with any usual member covered under a health insurance/financing scheme (%),18.7,15.3
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),14.5,na
15,Women who are literate (%),78.3,na
16,Women with 10 or more years of schooling (%),54.4,47.8
18,Women age 20-24 years married before age 18 years (%),8.0,8.4
19,Births in the 5 years preceding the survey that are third or higher order (%),2.0,1.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.4,3.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),89.8,72.8
23,Any method (%),57.0,65.6
24,Any modern method (%),48.2,56.6
25,Female sterilization (%),23.3,29.4
26,Male sterilization (%),0.0,0.3
27,IUD/PPIUD (%),4.3,4.7
28,Pill (%),2.7,2.7
29,Condom (%),17.9,19.2
30,Injectables (%),0.0,0.2
32,Total unmet need(%),12.3,11.9
33,Unmet need for spacing (%),3.4,3.1
35,Health worker ever talked to female non-users about family planning (%),19.4,16.2
36,Current users ever told about side effects of current method (%),82.8,60.1
39,Mothers who had an antenatal check-up in the first trimester (%),66.5,57.4
40,Mothers who had at least 4 antenatal care visits (%),47.7,54.7
41,Mothers whose last birth was protected against neonatal tetanus (%),85.9,83.8
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.6,33.3
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.5,17.1
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.5,85.6
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.6,80.2
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,693","2,973"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.9,na
52,Institutional births (%),94.7,88.0
53,Institutional births in public facility (%),58.8,53.2
54,Home births that were conducted by skilled health personnel (%),4.5,3.7
55,Births attended by skilled health personnel (%),97.7,91.1
56,Births delivered by caesarean section (%),36.2,24.6
57,Births in a private health facility that were delivered by caesarean section (%),45.3,33.5
58,Births in a public health facility that were delivered by caesarean section (%),34.0,24.4
