,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),61.7,56.9
1,Population below age 15 years (%),28.4,28.1
2,"Sex ratio of the total population (females per 1,000 males)","1,019",959
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,077",805
4,Children under age 5 years whose birth was registered with the civil authority (%),91.2,78.9
5,Deaths in the last 3 years registered with the civil authority (%),60.0,na
6,Population living in households with electricity (%),98.3,92.9
7,Population living in households with an improved drinking-water source (%),96.1,92.9
8,Population living in households that use an improved sanitation facility(%),59.0,33.5
9,Households using clean fuel for cooking (%),39.6,25.0
10,Households using iodized salt (%),94.1,97.7
11,Households with any usual member covered under a health insurance/financing scheme (%),89.5,13.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.8,na
13,Women who are literate (%),57.9,na
14,Women with 10 or more years of schooling (%),24.4,19.8
15,Women age 20-24 years married before age 18 years (%),26.8,33.7
16,Births in the 5 years preceding the survey that are third or higher order (%),2.2,1.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.0,2.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.7,34.9
19,Any method (%),78.9,65.4
20,Any modern method (%),71.8,62.3
21,Female sterilization (%),51.3,50.9
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.0,0.9
24,Pill (%),3.0,2.8
25,Condom (%),13.0,7.3
26,Injectables (%),2.8,0.4
27,Total unmet need(%),4.0,8.1
28,Unmet need for spacing (%),2.9,2.7
29,Health worker ever talked to female non-users about family planning (%),23.0,9.7
30,Current users ever told about side effects of current method (%),66.1,41.5
31,Mothers who had an antenatal check-up in the first trimester (%),88.2,76.8
32,Mothers who had at least 4 antenatal care visits (%),79.3,46.2
33,Mothers whose last birth was protected against neonatal tetanus (%),95.1,96.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),36.9,8.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.2,2.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,96.5
37,days of delivery (%),92.4,68.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,590","5,674"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),94.7,na
41,Institutional births (%),97.3,97.0
42,Institutional births in public facility (%),91.4,90.4
43,Home births that were conducted by skilled health personnel (%),0.8,0.0
44,Births attended by skilled health personnel (%),97.8,96.5
45,Births delivered by caesarean section (%),6.7,8.0
46,Births in a private health facility that were delivered by caesarean section (%),(35.7),(40.6)
