Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),65.1,59.9
Population below age 15 years (%),25.1,27.3
"Sex ratio of the total population (females per 1,000 males)","1,015",928
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,117","1,013"
Children under age 5 years whose birth was registered with the civil authority (%),94.3,77.6
Deaths in the last 3 years registered with the civil authority (%),89.1,na
Population living in households with electricity (%),99.0,95.0
Population living in households with an improved drinking-water source (%),97.8,98.7
Population living in households that use an improved sanitation facility(%),83.8,56.5
Households using clean fuel for cooking (%),36.2,25.1
Households using iodized salt (%),97.7,97.0
Households with any usual member covered under a health insurance/financing scheme (%),89.0,7.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.1,na
Women who are literate (%),68.2,na
Women with 10 or more years of schooling (%),38.4,29.2
Women age 20-24 years married before age 18 years (%),18.6,23.1
Births in the 5 years preceding the survey that are third or higher order (%),2.3,3.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.8,4.6
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.0,66.8
Any method (%),80.2,70.6
Any modern method (%),70.7,67.4
Female sterilization (%),49.9,53.4
Male sterilization (%),0.7,0.3
IUD/PPIUD (%),1.1,2.1
Pill (%),5.1,1.4
Condom (%),13.2,10.3
Injectables (%),0.4,0.0
Total unmet need(%),6.1,9.2
Unmet need for spacing (%),3.2,4.0
Health worker ever talked to female non-users about family planning (%),21.7,17.3
Current users ever told about side effects of current method (%),49.4,42.0
Mothers who had an antenatal check-up in the first trimester (%),84.4,70.7
Mothers who had at least 4 antenatal care visits (%),53.1,24.7
Mothers whose last birth was protected against neonatal tetanus (%),91.7,91.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.3,15.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.8,4.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.7,93.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),83.4,60.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,057","1,130"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(3.0)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),84.8,na
Institutional births (%),94.9,84.2
Institutional births in public facility (%),65.7,53.9
Home births that were conducted by skilled health personnel (%),2.0,6.4
Births attended by skilled health personnel (%),96.9,90.3
Births delivered by caesarean section (%),16.0,8.7
Births in a private health facility that were delivered by caesarean section (%),34.7,20.0
Births in a public health facility that were delivered by caesarean section (%),9.0,4.9
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),83.3,62.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.6,75.3
Children age 12-23 months who have received BCG (%),92.2,92.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),88.3,72.2
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.7,84.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.5,89.9
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.3,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),57.6,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.7,58.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.8,51.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,95.6
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,4.4
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.2,4.8
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,1.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(77.4),(77.7)
Children under age 3 years breastfed within one hour of birth (%),45.0,26.1
Children under age 6 months exclusively breastfed (%),(83.9),(61.8)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),6.1,2.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),7.1,2.0
Children under 5 years who are stunted (height-for-age) (%),24.2,35.0
Children under 5 years who are wasted (weight-for-height) (%),19.8,20.7
Children under 5 years who are severely wasted (weight-for-height) (%),9.0,7.6
Children under 5 years who are underweight (weight-for-age) (%),21.3,23.4
Children under 5 years who are overweight (weight-for-height) (%),3.9,2.4
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.3,23.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),17.6,14.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),69.9,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),81.0,46.2
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.4,34.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(55.8),(20.3)
All women age 15-49 years who are anaemic (%),60.3,33.9
All women age 15-19 years who are anaemic (%),61.7,31.4
Women - Blood sugar level - high (141-160 mg/dl)(%),3.9,na
Women - Blood sugar level - very high (>160 mg/dl)(%),3.0,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.4,na
Men - Blood sugar level - high (141-160 mg/dl)(%),4.1,na
Men - Blood sugar level - very high (>160 mg/dl) (%),4.1,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.5,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.0,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),20.0,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.7,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),22.6,na
Ever undergone a screening test for cervical cancer (%),0.8,na
Ever undergone a breast examination for breast cancer (%),0.4,na
Ever undergone an oral cavity examination for oral cancer (%),0.6,na
Women age 15 years and above who use any kind of tobacco (%),1.5,na
Men age 15 years and above who use any kind of tobacco (%),36.1,na
Women age 15 years and above who consume alcohol (%),0.1,na
Men age 15 years and above who consume alcohol (%),13.0,na
