Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),68.1,68.5
Population below age 15 years (%),25.6,29.0
"Sex ratio of the total population (females per 1,000 males)",944,920
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",915,883
Children under age 5 years whose birth was registered with the civil authority (%),90.9,68.3
Deaths in the last 3 years registered with the civil authority (%),81.9,na
Population living in households with electricity (%),99.5,98.3
Population living in households with an improved drinking-water source (%),99.9,99.0
Population living in households that use an improved sanitation facility(%),79.6,59.4
Households using clean fuel for cooking (%),60.1,54.6
Households using iodized salt (%),95.3,96.6
Households with any usual member covered under a health insurance/financing scheme (%),81.5,28.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),19.8,na
Women who are literate (%),72.4,na
Women with 10 or more years of schooling (%),47.9,38.4
Women age 20-24 years married before age 18 years (%),23.1,29.5
Births in the 5 years preceding the survey that are third or higher order (%),1.3,3.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.8,6.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.8,73.1
Any method (%),76.9,66.7
Any modern method (%),66.7,63.6
Female sterilization (%),44.8,45.1
Male sterilization (%),0.4,0.5
IUD/PPIUD (%),1.7,1.1
Pill (%),2.0,3.7
Condom (%),16.9,12.8
Injectables (%),0.4,0.1
Total unmet need(%),5.4,13.4
Unmet need for spacing (%),2.8,6.1
Health worker ever talked to female non-users about family planning (%),20.2,19.3
Current users ever told about side effects of current method (%),58.8,51.5
Mothers who had an antenatal check-up in the first trimester (%),81.3,71.4
Mothers who had at least 4 antenatal care visits (%),53.5,58.7
Mothers whose last birth was protected against neonatal tetanus (%),92.5,92.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),20.6,31.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.9,13.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.6,89.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),89.4,74.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,252","2,365"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(2.2)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),92.6,na
Institutional births (%),97.3,93.9
Institutional births in public facility (%),67.0,55.5
Home births that were conducted by skilled health personnel (%),1.2,1.7
Births attended by skilled health personnel (%),98.0,95.2
Births delivered by caesarean section (%),18.0,15.5
Births in a private health facility that were delivered by caesarean section (%),25.0,20.2
Births in a public health facility that were delivered by caesarean section (%),15.6,14.0
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),89.3,58.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),96.8,82.2
Children age 12-23 months who have received BCG (%),98.6,98.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),89.3,67.6
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),97.1,76.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),98.6,87.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.0,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),89.8,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),97.1,49.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),62.3,55.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.3,89.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.7,11.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.3,13.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,60.6
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,17.7
